DateKey,Date,Year,Quarter,MonthNumber,MonthName,WeekNumber,DayOfWeek,IsWeekend
20250101,2025-01-01,2025,Q1,1,Enero,1,Miércoles,False
20250102,2025-01-02,2025,Q1,1,Enero,1,Jueves,False
20250103,2025-01-03,2025,Q1,1,Enero,1,Viernes,False
20250104,2025-01-04,2025,Q1,1,Enero,1,Sábado,True
20250105,2025-01-05,2025,Q1,1,Enero,1,Domingo,True
20250106,2025-01-06,2025,Q1,1,Enero,2,Lunes,False
20250107,2025-01-07,2025,Q1,1,Enero,2,Martes,False
20250108,2025-01-08,2025,Q1,1,Enero,2,Miércoles,False
20250109,2025-01-09,2025,Q1,1,Enero,2,Jueves,False
20250110,2025-01-10,2025,Q1,1,Enero,2,Viernes,False
20250111,2025-01-11,2025,Q1,1,Enero,2,Sábado,True
20250112,2025-01-12,2025,Q1,1,Enero,2,Domingo,True
20250113,2025-01-13,2025,Q1,1,Enero,3,Lunes,False
20250114,2025-01-14,2025,Q1,1,Enero,3,Martes,False
20250115,2025-01-15,2025,Q1,1,Enero,3,Miércoles,False
20250116,2025-01-16,2025,Q1,1,Enero,3,Jueves,False
20250117,2025-01-17,2025,Q1,1,Enero,3,Viernes,False
20250118,2025-01-18,2025,Q1,1,Enero,3,Sábado,True
20250119,2025-01-19,2025,Q1,1,Enero,3,Domingo,True
20250120,2025-01-20,2025,Q1,1,Enero,4,Lunes,False
20250121,2025-01-21,2025,Q1,1,Enero,4,Martes,False
20250122,2025-01-22,2025,Q1,1,Enero,4,Miércoles,False
20250123,2025-01-23,2025,Q1,1,Enero,4,Jueves,False
20250124,2025-01-24,2025,Q1,1,Enero,4,Viernes,False
20250125,2025-01-25,2025,Q1,1,Enero,4,Sábado,True
20250126,2025-01-26,2025,Q1,1,Enero,4,Domingo,True
20250127,2025-01-27,2025,Q1,1,Enero,5,Lunes,False
20250128,2025-01-28,2025,Q1,1,Enero,5,Martes,False
20250129,2025-01-29,2025,Q1,1,Enero,5,Miércoles,False
20250130,2025-01-30,2025,Q1,1,Enero,5,Jueves,False
20250131,2025-01-31,2025,Q1,1,Enero,5,Viernes,False
20250201,2025-02-01,2025,Q1,2,Febrero,5,Sábado,True
20250202,2025-02-02,2025,Q1,2,Febrero,5,Domingo,True
20250203,2025-02-03,2025,Q1,2,Febrero,6,Lunes,False
20250204,2025-02-04,2025,Q1,2,Febrero,6,Martes,False
20250205,2025-02-05,2025,Q1,2,Febrero,6,Miércoles,False
20250206,2025-02-06,2025,Q1,2,Febrero,6,Jueves,False
20250207,2025-02-07,2025,Q1,2,Febrero,6,Viernes,False
20250208,2025-02-08,2025,Q1,2,Febrero,6,Sábado,True
20250209,2025-02-09,2025,Q1,2,Febrero,6,Domingo,True
20250210,2025-02-10,2025,Q1,2,Febrero,7,Lunes,False
20250211,2025-02-11,2025,Q1,2,Febrero,7,Martes,False
20250212,2025-02-12,2025,Q1,2,Febrero,7,Miércoles,False
20250213,2025-02-13,2025,Q1,2,Febrero,7,Jueves,False
20250214,2025-02-14,2025,Q1,2,Febrero,7,Viernes,False
20250215,2025-02-15,2025,Q1,2,Febrero,7,Sábado,True
20250216,2025-02-16,2025,Q1,2,Febrero,7,Domingo,True
20250217,2025-02-17,2025,Q1,2,Febrero,8,Lunes,False
20250218,2025-02-18,2025,Q1,2,Febrero,8,Martes,False
20250219,2025-02-19,2025,Q1,2,Febrero,8,Miércoles,False
20250220,2025-02-20,2025,Q1,2,Febrero,8,Jueves,False
20250221,2025-02-21,2025,Q1,2,Febrero,8,Viernes,False
20250222,2025-02-22,2025,Q1,2,Febrero,8,Sábado,True
20250223,2025-02-23,2025,Q1,2,Febrero,8,Domingo,True
20250224,2025-02-24,2025,Q1,2,Febrero,9,Lunes,False
20250225,2025-02-25,2025,Q1,2,Febrero,9,Martes,False
20250226,2025-02-26,2025,Q1,2,Febrero,9,Miércoles,False
20250227,2025-02-27,2025,Q1,2,Febrero,9,Jueves,False
20250228,2025-02-28,2025,Q1,2,Febrero,9,Viernes,False
20250301,2025-03-01,2025,Q1,3,Marzo,9,Sábado,True
20250302,2025-03-02,2025,Q1,3,Marzo,9,Domingo,True
20250303,2025-03-03,2025,Q1,3,Marzo,10,Lunes,False
20250304,2025-03-04,2025,Q1,3,Marzo,10,Martes,False
20250305,2025-03-05,2025,Q1,3,Marzo,10,Miércoles,False
20250306,2025-03-06,2025,Q1,3,Marzo,10,Jueves,False
20250307,2025-03-07,2025,Q1,3,Marzo,10,Viernes,False
20250308,2025-03-08,2025,Q1,3,Marzo,10,Sábado,True
20250309,2025-03-09,2025,Q1,3,Marzo,10,Domingo,True
20250310,2025-03-10,2025,Q1,3,Marzo,11,Lunes,False
20250311,2025-03-11,2025,Q1,3,Marzo,11,Martes,False
20250312,2025-03-12,2025,Q1,3,Marzo,11,Miércoles,False
20250313,2025-03-13,2025,Q1,3,Marzo,11,Jueves,False
20250314,2025-03-14,2025,Q1,3,Marzo,11,Viernes,False
20250315,2025-03-15,2025,Q1,3,Marzo,11,Sábado,True
20250316,2025-03-16,2025,Q1,3,Marzo,11,Domingo,True
20250317,2025-03-17,2025,Q1,3,Marzo,12,Lunes,False
20250318,2025-03-18,2025,Q1,3,Marzo,12,Martes,False
20250319,2025-03-19,2025,Q1,3,Marzo,12,Miércoles,False
20250320,2025-03-20,2025,Q1,3,Marzo,12,Jueves,False
20250321,2025-03-21,2025,Q1,3,Marzo,12,Viernes,False
20250322,2025-03-22,2025,Q1,3,Marzo,12,Sábado,True
20250323,2025-03-23,2025,Q1,3,Marzo,12,Domingo,True
20250324,2025-03-24,2025,Q1,3,Marzo,13,Lunes,False
20250325,2025-03-25,2025,Q1,3,Marzo,13,Martes,False
20250326,2025-03-26,2025,Q1,3,Marzo,13,Miércoles,False
20250327,2025-03-27,2025,Q1,3,Marzo,13,Jueves,False
20250328,2025-03-28,2025,Q1,3,Marzo,13,Viernes,False
20250329,2025-03-29,2025,Q1,3,Marzo,13,Sábado,True
20250330,2025-03-30,2025,Q1,3,Marzo,13,Domingo,True
20250331,2025-03-31,2025,Q1,3,Marzo,14,Lunes,False
20250401,2025-04-01,2025,Q2,4,Abril,14,Martes,False
20250402,2025-04-02,2025,Q2,4,Abril,14,Miércoles,False
20250403,2025-04-03,2025,Q2,4,Abril,14,Jueves,False
20250404,2025-04-04,2025,Q2,4,Abril,14,Viernes,False
20250405,2025-04-05,2025,Q2,4,Abril,14,Sábado,True
20250406,2025-04-06,2025,Q2,4,Abril,14,Domingo,True
20250407,2025-04-07,2025,Q2,4,Abril,15,Lunes,False
20250408,2025-04-08,2025,Q2,4,Abril,15,Martes,False
20250409,2025-04-09,2025,Q2,4,Abril,15,Miércoles,False
20250410,2025-04-10,2025,Q2,4,Abril,15,Jueves,False
20250411,2025-04-11,2025,Q2,4,Abril,15,Viernes,False
20250412,2025-04-12,2025,Q2,4,Abril,15,Sábado,True
20250413,2025-04-13,2025,Q2,4,Abril,15,Domingo,True
20250414,2025-04-14,2025,Q2,4,Abril,16,Lunes,False
20250415,2025-04-15,2025,Q2,4,Abril,16,Martes,False
20250416,2025-04-16,2025,Q2,4,Abril,16,Miércoles,False
20250417,2025-04-17,2025,Q2,4,Abril,16,Jueves,False
20250418,2025-04-18,2025,Q2,4,Abril,16,Viernes,False
20250419,2025-04-19,2025,Q2,4,Abril,16,Sábado,True
20250420,2025-04-20,2025,Q2,4,Abril,16,Domingo,True
20250421,2025-04-21,2025,Q2,4,Abril,17,Lunes,False
20250422,2025-04-22,2025,Q2,4,Abril,17,Martes,False
20250423,2025-04-23,2025,Q2,4,Abril,17,Miércoles,False
20250424,2025-04-24,2025,Q2,4,Abril,17,Jueves,False
20250425,2025-04-25,2025,Q2,4,Abril,17,Viernes,False
20250426,2025-04-26,2025,Q2,4,Abril,17,Sábado,True
20250427,2025-04-27,2025,Q2,4,Abril,17,Domingo,True
20250428,2025-04-28,2025,Q2,4,Abril,18,Lunes,False
20250429,2025-04-29,2025,Q2,4,Abril,18,Martes,False
20250430,2025-04-30,2025,Q2,4,Abril,18,Miércoles,False
20250501,2025-05-01,2025,Q2,5,Mayo,18,Jueves,False
20250502,2025-05-02,2025,Q2,5,Mayo,18,Viernes,False
20250503,2025-05-03,2025,Q2,5,Mayo,18,Sábado,True
20250504,2025-05-04,2025,Q2,5,Mayo,18,Domingo,True
20250505,2025-05-05,2025,Q2,5,Mayo,19,Lunes,False
20250506,2025-05-06,2025,Q2,5,Mayo,19,Martes,False
20250507,2025-05-07,2025,Q2,5,Mayo,19,Miércoles,False
20250508,2025-05-08,2025,Q2,5,Mayo,19,Jueves,False
20250509,2025-05-09,2025,Q2,5,Mayo,19,Viernes,False
20250510,2025-05-10,2025,Q2,5,Mayo,19,Sábado,True
20250511,2025-05-11,2025,Q2,5,Mayo,19,Domingo,True
20250512,2025-05-12,2025,Q2,5,Mayo,20,Lunes,False
20250513,2025-05-13,2025,Q2,5,Mayo,20,Martes,False
20250514,2025-05-14,2025,Q2,5,Mayo,20,Miércoles,False
20250515,2025-05-15,2025,Q2,5,Mayo,20,Jueves,False
20250516,2025-05-16,2025,Q2,5,Mayo,20,Viernes,False
20250517,2025-05-17,2025,Q2,5,Mayo,20,Sábado,True
20250518,2025-05-18,2025,Q2,5,Mayo,20,Domingo,True
20250519,2025-05-19,2025,Q2,5,Mayo,21,Lunes,False
20250520,2025-05-20,2025,Q2,5,Mayo,21,Martes,False
20250521,2025-05-21,2025,Q2,5,Mayo,21,Miércoles,False
20250522,2025-05-22,2025,Q2,5,Mayo,21,Jueves,False
20250523,2025-05-23,2025,Q2,5,Mayo,21,Viernes,False
20250524,2025-05-24,2025,Q2,5,Mayo,21,Sábado,True
20250525,2025-05-25,2025,Q2,5,Mayo,21,Domingo,True
20250526,2025-05-26,2025,Q2,5,Mayo,22,Lunes,False
20250527,2025-05-27,2025,Q2,5,Mayo,22,Martes,False
20250528,2025-05-28,2025,Q2,5,Mayo,22,Miércoles,False
20250529,2025-05-29,2025,Q2,5,Mayo,22,Jueves,False
20250530,2025-05-30,2025,Q2,5,Mayo,22,Viernes,False
20250531,2025-05-31,2025,Q2,5,Mayo,22,Sábado,True
20250601,2025-06-01,2025,Q2,6,Junio,22,Domingo,True
20250602,2025-06-02,2025,Q2,6,Junio,23,Lunes,False
20250603,2025-06-03,2025,Q2,6,Junio,23,Martes,False
20250604,2025-06-04,2025,Q2,6,Junio,23,Miércoles,False
20250605,2025-06-05,2025,Q2,6,Junio,23,Jueves,False
20250606,2025-06-06,2025,Q2,6,Junio,23,Viernes,False
20250607,2025-06-07,2025,Q2,6,Junio,23,Sábado,True
20250608,2025-06-08,2025,Q2,6,Junio,23,Domingo,True
20250609,2025-06-09,2025,Q2,6,Junio,24,Lunes,False
20250610,2025-06-10,2025,Q2,6,Junio,24,Martes,False
20250611,2025-06-11,2025,Q2,6,Junio,24,Miércoles,False
20250612,2025-06-12,2025,Q2,6,Junio,24,Jueves,False
20250613,2025-06-13,2025,Q2,6,Junio,24,Viernes,False
20250614,2025-06-14,2025,Q2,6,Junio,24,Sábado,True
20250615,2025-06-15,2025,Q2,6,Junio,24,Domingo,True
20250616,2025-06-16,2025,Q2,6,Junio,25,Lunes,False
20250617,2025-06-17,2025,Q2,6,Junio,25,Martes,False
20250618,2025-06-18,2025,Q2,6,Junio,25,Miércoles,False
20250619,2025-06-19,2025,Q2,6,Junio,25,Jueves,False
20250620,2025-06-20,2025,Q2,6,Junio,25,Viernes,False
20250621,2025-06-21,2025,Q2,6,Junio,25,Sábado,True
20250622,2025-06-22,2025,Q2,6,Junio,25,Domingo,True
20250623,2025-06-23,2025,Q2,6,Junio,26,Lunes,False
20250624,2025-06-24,2025,Q2,6,Junio,26,Martes,False
20250625,2025-06-25,2025,Q2,6,Junio,26,Miércoles,False
20250626,2025-06-26,2025,Q2,6,Junio,26,Jueves,False
20250627,2025-06-27,2025,Q2,6,Junio,26,Viernes,False
20250628,2025-06-28,2025,Q2,6,Junio,26,Sábado,True
20250629,2025-06-29,2025,Q2,6,Junio,26,Domingo,True
20250630,2025-06-30,2025,Q2,6,Junio,27,Lunes,False
