CostID,DateKey,ProjectID,AreaID,EquipmentID,CostCategory,BudgetAmount,ActualAmount,CommittedAmount,VendorType
CO000001,20250208,PR0042,A004,EQ0059,Energía,96971.82,110741.87,27958.07,Contratista minero
CO000002,20250328,PR0006,A006,EQ0056,Materiales de desgaste,37827.41,46430.68,41080.29,Proveedor local
CO000003,20250106,PR0004,A004,EQ0004,Mano de obra,111601.65,125005.7,108645.36,Proveedor local
CO000004,20250322,PR0025,A013,EQ0050,Servicios externos,22329.66,21145.06,5039.16,Contratista minero
CO000005,20250521,PR0065,A010,EQ0039,Energía,28305.22,44604.68,17901.82,Proveedor local
CO000006,20250423,PR0023,A004,EQ0018,Repuestos,5237.5,5478.76,3045.71,Contratista minero
CO000007,20250407,PR0037,A012,EQ0045,Seguridad,63896.33,55410.66,38554.74,Proveedor internacional
CO000008,20250501,PR0077,A010,EQ0028,Neumáticos,13790.38,16602.65,9016.04,Interno
CO000009,20250104,PR0059,A017,EQ0014,Energía,152708.02,157494.75,33398.68,Interno
CO000010,20250217,PR0036,A017,EQ0009,Componentes mayores,73241.09,67778.42,66551.84,Contratista minero
CO000011,20250626,PR0068,A008,EQ0033,Seguridad,125822.59,207384.94,63680.34,Proveedor local
CO000012,20250618,PR0021,A004,EQ0046,Mano de obra,103918.79,109401.14,102770.99,Proveedor local
CO000013,20250326,PR0015,A004,EQ0053,Energía,92077.88,103256.54,81985.94,Interno
CO000014,20250522,PR0030,A017,EQ0024,Servicios externos,122902.23,123585.5,129884.27,Interno
CO000015,20250523,PR0019,A010,EQ0015,Materiales de desgaste,30132.87,43138.39,7263.16,Proveedor internacional
CO000016,20250515,PR0019,A005,EQ0047,Materiales de desgaste,16428.5,16341.95,16984.83,Proveedor local
CO000017,20250409,PR0047,A005,EQ0029,Instrumentación,29396.91,24735.66,30732.87,Proveedor internacional
CO000018,20250105,PR0075,A004,EQ0011,Automatización,31478.56,30647.21,33323.84,Contratista minero
CO000019,20250502,PR0015,A004,EQ0046,Seguridad,45638.38,44830.0,28717.33,Proveedor internacional
CO000020,20250124,PR0019,A004,EQ0006,Componentes mayores,11023.73,14185.4,11258.7,Contratista minero
CO000021,20250222,PR0007,A005,EQ0001,Repuestos,88179.72,89207.51,36810.29,Interno
CO000022,20250529,PR0059,A004,EQ0006,Automatización,7188.82,4977.29,6923.07,Interno
CO000023,20250528,PR0007,A004,EQ0036,Lubricantes,149054.97,152945.05,103031.98,Proveedor internacional
CO000024,20250304,PR0061,A005,EQ0016,Seguridad,78322.42,57671.04,24214.78,Contratista minero
CO000025,20250324,PR0012,A012,EQ0035,Servicios externos,89238.47,93057.87,77089.56,Proveedor local
CO000026,20250124,PR0031,A004,EQ0052,Contratistas,149938.66,183643.41,158156.69,Proveedor internacional
CO000027,20250321,PR0067,A010,EQ0032,Energía,103726.68,154491.88,88606.63,Proveedor local
CO000028,20250413,PR0033,A004,EQ0060,Servicios externos,56582.56,51262.9,35568.92,Proveedor internacional
CO000029,20250506,PR0032,A005,EQ0001,Energía,59736.69,55635.69,14704.08,Proveedor internacional
CO000030,20250226,PR0060,A010,EQ0015,Servicios externos,50387.53,63584.53,23312.88,Proveedor local
CO000031,20250327,PR0036,A004,EQ0036,Repuestos,148009.11,120898.0,54436.69,Contratista minero
CO000032,20250602,PR0078,A004,EQ0046,Seguridad,3696.15,4439.64,3080.24,Proveedor local
CO000033,20250302,PR0017,A005,EQ0016,Automatización,15861.55,20549.85,3679.1,Interno
CO000034,20250422,PR0009,A004,EQ0019,Neumáticos,68700.56,78831.8,63485.89,Contratista minero
CO000035,20250620,PR0041,A017,EQ0003,Contratistas,34876.86,33088.69,11877.81,Proveedor local
CO000036,20250619,PR0037,A008,EQ0042,Servicios externos,46612.72,58867.23,22849.44,Proveedor internacional
CO000037,20250103,PR0043,A006,EQ0056,Instrumentación,145051.39,135053.74,49582.33,Proveedor internacional
CO000038,20250102,PR0069,A004,EQ0006,Energía,74047.82,78734.2,34131.63,Contratista minero
CO000039,20250505,PR0023,A017,EQ0021,Componentes mayores,30627.28,39148.82,6204.63,Proveedor local
CO000040,20250310,PR0040,A017,EQ0040,Lubricantes,151643.42,177709.23,95496.71,Proveedor local
CO000041,20250108,PR0035,A017,EQ0003,Automatización,81886.71,80350.11,59642.74,Interno
CO000042,20250117,PR0016,A004,EQ0019,Seguridad,21085.39,23710.15,10691.32,Proveedor local
CO000043,20250321,PR0017,A004,EQ0060,Automatización,133530.84,78761.81,50147.46,Contratista minero
CO000044,20250101,PR0015,A004,EQ0060,Materiales de desgaste,82173.2,72042.0,52609.4,Contratista minero
CO000045,20250620,PR0026,A004,EQ0051,Energía,116940.82,122458.57,84603.53,Contratista minero
CO000046,20250505,PR0068,A008,EQ0012,Neumáticos,85080.75,111229.77,47031.28,Interno
CO000047,20250408,PR0046,A012,EQ0035,Servicios externos,78684.31,84721.71,17905.79,Proveedor internacional
CO000048,20250319,PR0035,A010,EQ0038,Repuestos,100176.09,135179.29,43948.65,Proveedor internacional
CO000049,20250425,PR0077,A006,EQ0056,Lubricantes,62217.9,55177.79,51002.03,Proveedor internacional
CO000050,20250513,PR0080,A012,EQ0035,Instrumentación,106576.88,96055.14,74993.51,Proveedor local
