IncidentID,DateKey,AreaID,EquipmentID,LocationID,Severity,IncidentType,CorrectiveActionStatus,DaysOpen,LostTimeFlag,RiskCategory
IN00001,20250227,A017,EQ0041,L013,Baja,Bloqueo y etiquetado,Abierta,7,False,Operación
IN00002,20250629,A004,EQ0018,L009,Baja,Riesgo geotécnico,Cerrada,0,False,Ambiente
IN00003,20250625,A005,EQ0047,L016,Media,Incidente operacional,Cerrada,0,False,Ambiente
IN00004,20250420,A004,EQ0006,L009,Media,Riesgo geotécnico,Cerrada,0,True,Calidad
IN00005,20250503,A010,EQ0038,L005,Alta,Incidente operacional,Abierta,117,False,Geotecnia
IN00006,20250103,A017,EQ0005,L013,Baja,Casi accidente,En Proceso,56,False,Ambiente
IN00007,20250523,A008,EQ0058,L006,Media,Riesgo geotécnico,Abierta,60,False,Operación
IN00008,20250316,A006,EQ0056,L016,Media,Incidente de tránsito mina,En Proceso,80,False,Geotecnia
IN00009,20250624,A010,EQ0038,L005,Alta,Derrame menor,Abierta,66,False,Seguridad
IN00010,20250627,A004,EQ0011,L009,Baja,Evento HSE,Vencida,60,False,Ambiente
IN00011,20250128,A004,EQ0059,L009,Baja,Exposición a energía,Cerrada,0,False,Operación
IN00012,20250521,A010,EQ0015,L005,Baja,Acto subestándar,En Proceso,27,False,Geotecnia
IN00013,20250322,A017,EQ0017,L013,Media,Falla de control crítico,Cerrada,0,False,Operación
IN00014,20250618,A017,EQ0014,L013,Alta,Acto subestándar,Cerrada,0,True,Operación
IN00015,20250621,A004,EQ0052,L009,Baja,Condición subestándar,Cerrada,0,True,Geotecnia
IN00016,20250617,A004,EQ0036,L009,Baja,Falla de control crítico,Cerrada,0,False,Operación
IN00017,20250121,A017,EQ0024,L013,Media,Evento HSE,Abierta,11,False,Geotecnia
IN00018,20250529,A005,EQ0029,L016,Baja,Evento en taller,Cerrada,0,False,Seguridad
IN00019,20250608,A004,EQ0020,L009,Crítica,Falla de control crítico,Cerrada,0,True,Geotecnia
