MaintenanceID,DateKey,EquipmentID,AreaID,WorkTypeID,PriorityID,FailureMode,SystemCategory,DowntimeHours,RepairHours,MaintenanceCost,PlannedFlag
MT000001,20250629,EQ0012,A004,WT1,P3,Desgaste,Energía,0.97,0.5,481.2,True
MT000002,20250605,EQ0035,A003,WT1,P3,Desgaste,Mecánico,3.07,2.91,2545.36,True
MT000003,20250627,EQ0002,A004,WT2,P3,Calibración,Mecánico,2.92,1.95,1593.51,False
MT000004,20250115,EQ0037,A005,WT1,P2,Falla eléctrica,TI/OT,3.65,1.92,3215.47,True
MT000005,20250425,EQ0011,A005,WT2,P3,Falla eléctrica,Control,7.01,5.22,4361.54,False
MT000006,20250330,EQ0034,A005,WT1,P2,No aplica,Energía,7.79,6.56,4646.25,True
MT000007,20250412,EQ0021,A005,WT2,P3,Calibración,Control,7.47,4.96,2097.72,False
MT000008,20250119,EQ0037,A005,WT2,P4,Desgaste,Energía,4.82,2.21,1217.3,False
MT000009,20250614,EQ0009,A005,WT2,P3,Sobrecalentamiento,Energía,4.3,3.34,956.69,False
MT000010,20250511,EQ0012,A004,WT2,P1,No aplica,Energía,12.78,9.24,10084.68,False
MT000011,20250305,EQ0021,A005,WT2,P4,Falla eléctrica,Energía,8.1,4.47,5753.93,False
MT000012,20250629,EQ0017,A005,WT1,P2,Falla eléctrica,TI/OT,0.79,0.35,273.41,True
MT000013,20250131,EQ0027,A006,WT1,P3,Sobrecalentamiento,Mecánico,2.68,1.57,1616.46,True
MT000014,20250118,EQ0021,A005,WT1,P1,Falla eléctrica,Control,2.54,1.51,1840.42,True
MT000015,20250407,EQ0009,A005,WT2,P4,Desgaste,TI/OT,6.73,3.28,4056.11,False
MT000016,20250508,EQ0005,A004,WT2,P2,Falla eléctrica,Eléctrico,10.09,7.25,7328.0,False
MT000017,20250529,EQ0005,A004,WT1,P3,Sobrecalentamiento,Control,2.81,1.25,2521.01,True
MT000018,20250419,EQ0023,A005,WT2,P2,Calibración,Eléctrico,4.22,3.21,1316.41,False
MT000019,20250617,EQ0015,A002,WT2,P3,Calibración,Energía,12.86,8.16,5518.67,False
MT000020,20250404,EQ0021,A005,WT2,P4,Vibración,Eléctrico,1.96,1.78,859.54,False
MT000021,20250515,EQ0022,A003,WT1,P4,No aplica,Mecánico,3.14,2.56,2963.42,True
MT000022,20250210,EQ0012,A004,WT2,P2,Calibración,Eléctrico,12.56,10.46,5518.16,False
MT000023,20250208,EQ0008,A004,WT1,P3,Sobrecalentamiento,Eléctrico,1.02,0.73,527.97,True
MT000024,20250213,EQ0019,A006,WT2,P4,No aplica,Control,3.69,1.61,1724.53,False
MT000025,20250511,EQ0003,A004,WT2,P2,Vibración,Control,7.73,6.64,6278.13,False
MT000026,20250608,EQ0014,A006,WT1,P4,Vibración,Control,2.17,1.81,884.77,True
MT000027,20250118,EQ0022,A003,WT1,P2,Calibración,Eléctrico,1.61,0.96,315.99,True
MT000028,20250324,EQ0029,A004,WT1,P4,Vibración,Mecánico,0.9,0.77,448.74,True
MT000029,20250531,EQ0028,A001,WT1,P4,No aplica,Mecánico,1.26,0.77,770.81,True
MT000030,20250220,EQ0011,A005,WT2,P3,Sobrecalentamiento,Mecánico,8.55,6.86,4203.29,False
MT000031,20250504,EQ0013,A004,WT2,P1,Desgaste,Energía,3.32,2.9,1602.82,False
MT000032,20250507,EQ0032,A005,WT1,P3,Calibración,Eléctrico,3.07,2.34,844.05,True
MT000033,20250424,EQ0021,A005,WT2,P2,No aplica,Energía,3.9,2.41,2862.41,False
MT000034,20250515,EQ0021,A005,WT1,P3,Sobrecalentamiento,Control,2.17,1.68,907.01,True
MT000035,20250319,EQ0033,A003,WT1,P2,Desgaste,Eléctrico,2.54,1.24,1902.19,True
MT000036,20250313,EQ0032,A005,WT1,P2,Vibración,Eléctrico,4.68,3.86,2589.81,True
MT000037,20250511,EQ0035,A003,WT1,P4,Sobrecalentamiento,Control,2.31,1.33,1283.04,True
MT000038,20250412,EQ0040,A003,WT1,P3,Desgaste,Eléctrico,2.22,1.87,524.42,True
MT000039,20250521,EQ0019,A006,WT1,P3,Falla eléctrica,Mecánico,2.05,1.12,917.63,True
MT000040,20250117,EQ0010,A001,WT1,P2,Desgaste,Eléctrico,1.19,0.84,845.93,True
MT000041,20250114,EQ0030,A002,WT2,P3,Calibración,Energía,10.42,9.56,2914.83,False
MT000042,20250307,EQ0037,A005,WT2,P3,Falla eléctrica,Mecánico,5.1,3.27,1165.26,False
