WorkOrderID,CreatedDateKey,ClosedDateKey,AreaID,EquipmentID,ServiceID,ResponsibleID,WorkTypeID,PriorityID,StatusID,EstimatedHours,ActualHours,IsCritical,ReworkFlag,SourceSystem
WO000001,20250328,20250404,A006,EQ0014,SV3,R024,WT2,P3,S4,63.01,51.57,False,True,ServiceDesk
WO000002,20250424,20250428,A003,EQ0033,SV1,R011,WT6,P3,S4,33.77,28.19,False,True,ERP
WO000003,20250201,20250208,A001,EQ0010,SV6,R011,WT5,P3,S4,27.81,54.16,False,False,ERP
WO000004,20250318,20250327,A003,EQ0001,SV6,R028,WT6,P3,S4,51.53,68.73,False,False,ERP
WO000005,20250213,20250215,A001,EQ0007,SV3,R019,WT5,P2,S4,8.64,11.6,True,True,CMMS
WO000006,20250306,,A002,EQ0036,SV1,R001,WT1,P4,S1,68.98,174.74,False,False,CMMS
WO000007,20250112,,A006,EQ0027,SV7,R025,WT1,P4,S2,71.39,171.27,False,True,ERP
WO000008,20250517,,A002,EQ0036,SV8,R018,WT1,P2,S2,11.93,13.38,True,False,ERP
WO000009,20250204,,A005,EQ0032,SV5,R016,WT1,P4,S2,103.64,132.08,False,False,ERP
WO000010,20250105,20250119,A005,EQ0037,SV8,R026,WT2,P3,S4,57.19,105.63,False,False,ServiceDesk
WO000011,20250426,20250505,A005,EQ0018,SV5,R002,WT1,P4,S4,96.56,70.01,False,False,ServiceDesk
WO000012,20250430,,A004,EQ0004,SV5,R029,WT5,P2,S2,14.62,26.96,True,False,CMMS
WO000013,20250507,20250508,A004,EQ0003,SV5,R027,WT3,P1,S4,4.81,6.32,True,False,CMMS
WO000014,20250614,,A006,EQ0014,SV8,R017,WT2,P3,S2,40.97,48.33,False,False,ERP
WO000015,20250317,,A001,EQ0028,SV4,R029,WT2,P4,S2,78.04,149.98,False,False,ServiceDesk
WO000016,20250408,,A006,EQ0038,SV7,R022,WT6,P3,S1,26.51,28.07,False,True,CMMS
WO000017,20250612,20250623,A005,EQ0017,SV4,R029,WT6,P3,S4,64.45,87.17,False,True,ServiceDesk
WO000018,20250328,20250401,A006,EQ0038,SV7,R022,WT4,P2,S4,20.97,29.27,True,False,CMMS
WO000019,20250119,20250122,A004,EQ0003,SV2,R030,WT5,P3,S4,25.81,19.54,False,False,ERP
WO000020,20250321,20250401,A003,EQ0031,SV2,R014,WT4,P4,S4,59.6,84.11,False,False,CMMS
WO000021,20250221,20250225,A005,EQ0017,SV2,R028,WT3,P3,S4,36.75,28.06,False,True,ServiceDesk
WO000022,20250205,,A002,EQ0015,SV8,R019,WT3,P2,S1,10.59,10.54,True,False,CMMS
WO000023,20250624,,A002,EQ0015,SV6,R021,WT3,P3,S2,59.61,59.79,False,False,CMMS
WO000024,20250301,,A001,EQ0028,SV6,R009,WT1,P4,S2,68.72,170.46,False,False,ServiceDesk
WO000025,20250506,20250601,A003,EQ0035,SV8,R006,WT2,P4,S4,106.6,200.39,False,True,CMMS
WO000026,20250131,20250201,A005,EQ0037,SV6,R020,WT1,P2,S4,19.09,7.55,True,False,ServiceDesk
WO000027,20250325,,A005,EQ0034,SV1,R018,WT1,P1,S1,3.8,4.32,True,False,ERP
WO000028,20250417,,A001,EQ0010,SV7,R028,WT1,P3,S2,59.25,109.09,False,False,ServiceDesk
WO000029,20250306,20250309,A003,EQ0022,SV6,R001,WT2,P2,S4,14.8,21.4,True,False,CMMS
WO000030,20250619,20250630,A004,EQ0029,SV2,R001,WT3,P4,S4,97.29,124.8,False,True,ERP
WO000031,20250412,20250413,A002,EQ0015,SV7,R010,WT1,P1,S4,6.85,5.51,True,False,ServiceDesk
WO000032,20250113,20250206,A004,EQ0012,SV5,R014,WT2,P4,S4,97.78,187.58,False,False,CMMS
WO000033,20250516,20250529,A004,EQ0003,SV3,R026,WT1,P4,S4,72.16,102.12,False,False,ServiceDesk
WO000034,20250424,,A004,EQ0012,SV8,R014,WT1,P3,S2,43.83,40.07,False,False,ServiceDesk
WO000035,20250424,,A006,EQ0027,SV1,R023,WT2,P3,S2,48.94,39.78,False,False,ServiceDesk
WO000036,20250101,20250105,A002,EQ0030,SV1,R008,WT1,P2,S4,18.94,25.72,True,False,CMMS
WO000037,20250125,20250208,A001,EQ0010,SV1,R029,WT1,P4,S4,62.14,109.26,False,False,CMMS
WO000038,20250226,20250228,A001,EQ0020,SV5,R011,WT1,P1,S4,4.7,9.08,True,True,CMMS
WO000039,20250515,20250525,A005,EQ0011,SV6,R014,WT5,P3,S4,32.7,78.81,False,False,CMMS
WO000040,20250222,20250228,A003,EQ0033,SV1,R011,WT2,P2,S4,16.45,46.76,True,False,ServiceDesk
WO000041,20250309,,A006,EQ0038,SV8,R026,WT1,P2,S2,16.9,15.4,True,True,ServiceDesk
WO000042,20250301,,A003,EQ0040,SV5,R019,WT1,P4,S1,66.63,49.9,False,True,ServiceDesk
WO000043,20250124,,A002,EQ0015,SV7,R027,WT1,P4,S1,63.72,99.59,False,False,ServiceDesk
WO000044,20250214,20250215,A002,EQ0015,SV6,R009,WT2,P1,S4,4.59,7.36,True,False,ERP
WO000045,20250328,20250331,A003,EQ0001,SV3,R017,WT1,P2,S4,12.49,17.29,True,True,CMMS
