ProductivityID,DateKey,AreaID,ResponsibleID,LocationID,Shift,PlannedOutput,ActualOutput,LaborHours,ProductiveHours,NonProductiveHours
PD000001,20250227,A003,R017,L006,Día,377,344,9.97,7.14,2.83
PD000002,20250403,A004,R029,L001,Noche,366,284,10.5,8.75,1.75
PD000003,20250304,A002,R030,L004,Noche,747,667,9.09,6.25,2.85
PD000004,20250622,A004,R012,L002,Tarde,863,815,10.36,9.15,1.22
PD000005,20250606,A002,R006,L003,Tarde,813,594,10.22,8.92,1.3
PD000006,20250301,A003,R020,L004,Día,386,380,7.75,6.1,1.64
PD000007,20250307,A003,R016,L006,Tarde,290,298,10.27,7.23,3.03
PD000008,20250401,A001,R013,L006,Noche,244,243,9.82,7.74,2.07
PD000009,20250404,A006,R001,L001,Día,773,663,7.96,5.56,2.4
PD000010,20250411,A005,R005,L004,Tarde,203,198,8.07,5.37,2.7
PD000011,20250310,A004,R025,L005,Día,796,717,11.45,9.4,2.04
PD000012,20250604,A004,R027,L001,Noche,807,612,7.5,4.95,2.54
PD000013,20250407,A004,R015,L003,Tarde,604,517,9.44,6.72,2.72
PD000014,20250510,A006,R022,L003,Noche,765,817,9.98,8.35,1.63
PD000015,20250117,A006,R018,L005,Tarde,95,109,8.74,6.28,2.46
PD000016,20250107,A004,R010,L007,Noche,191,150,11.02,8.8,2.21
PD000017,20250501,A002,R018,L007,Tarde,191,141,9.01,6.43,2.58
PD000018,20250412,A004,R024,L002,Noche,730,810,10.43,8.45,1.98
PD000019,20250416,A006,R010,L005,Tarde,422,375,8.51,7.65,0.87
PD000020,20250524,A003,R003,L005,Tarde,877,915,9.91,9.11,0.8
PD000021,20250227,A005,R028,L004,Noche,224,223,10.94,8.65,2.28
PD000022,20250103,A003,R002,L004,Tarde,818,655,6.66,5.9,0.76
PD000023,20250501,A002,R030,L006,Día,412,302,8.86,7.64,1.22
PD000024,20250326,A001,R016,L003,Día,546,588,7.92,7.01,0.91
PD000025,20250124,A006,R007,L002,Día,605,534,7.71,6.45,1.27
PD000026,20250618,A006,R016,L003,Noche,523,551,6.26,5.5,0.75
PD000027,20250523,A001,R019,L007,Noche,657,562,11.79,10.47,1.32
PD000028,20250228,A001,R007,L002,Día,662,632,11.24,7.83,3.41
PD000029,20250124,A003,R023,L006,Tarde,556,574,10.06,8.58,1.48
PD000030,20250609,A005,R013,L005,Noche,294,265,11.14,7.72,3.43
PD000031,20250420,A001,R002,L002,Día,533,548,6.28,4.89,1.39
PD000032,20250213,A006,R027,L003,Noche,153,102,6.91,5.24,1.67
PD000033,20250419,A006,R025,L004,Noche,154,171,7.69,6.59,1.1
PD000034,20250618,A001,R015,L003,Tarde,870,746,11.98,8.85,3.13
PD000035,20250518,A001,R004,L007,Noche,92,110,7.95,5.42,2.53
PD000036,20250610,A001,R023,L007,Noche,462,442,9.94,8.65,1.29
PD000037,20250518,A006,R013,L001,Noche,336,352,6.93,5.16,1.77
PD000038,20250306,A004,R009,L003,Noche,495,388,11.76,10.11,1.65
PD000039,20250627,A003,R018,L007,Noche,707,629,10.53,7.25,3.28
PD000040,20250205,A002,R020,L002,Noche,573,402,7.59,6.58,1.01
PD000041,20250406,A006,R012,L001,Tarde,681,729,6.36,5.36,1.0
PD000042,20250314,A003,R019,L003,Día,379,364,7.42,6.81,0.61
PD000043,20250508,A006,R002,L006,Tarde,649,581,8.45,7.71,0.73
PD000044,20250518,A001,R024,L003,Noche,820,937,7.05,5.73,1.32
PD000045,20250604,A005,R014,L004,Día,686,670,8.83,6.14,2.69
PD000046,20250515,A005,R027,L006,Día,50,43,8.27,7.09,1.18
PD000047,20250530,A002,R005,L005,Tarde,390,261,8.07,4.87,3.21
PD000048,20250305,A003,R009,L002,Tarde,207,156,10.19,8.02,2.17
PD000049,20250215,A006,R017,L002,Noche,702,540,8.04,5.81,2.23
PD000050,20250629,A006,R030,L003,Noche,224,216,11.71,8.15,3.57
PD000051,20250128,A004,R017,L005,Tarde,805,841,11.34,9.15,2.18
PD000052,20250115,A004,R019,L003,Día,666,587,11.31,10.15,1.16
PD000053,20250226,A001,R010,L007,Día,384,330,9.39,6.94,2.45
PD000054,20250414,A002,R004,L006,Tarde,855,722,9.1,8.11,0.99
PD000055,20250220,A002,R023,L007,Noche,876,819,8.84,4.9,3.95
PD000056,20250328,A003,R030,L005,Día,590,499,7.53,6.92,0.61
PD000057,20250114,A006,R011,L004,Tarde,85,67,11.79,9.76,2.03
PD000058,20250420,A006,R015,L005,Día,345,296,6.35,5.77,0.57
PD000059,20250324,A005,R012,L004,Día,59,51,11.16,9.21,1.95
PD000060,20250226,A001,R012,L001,Día,573,534,11.47,8.34,3.13
PD000061,20250121,A001,R003,L004,Noche,416,362,6.65,5.76,0.89
PD000062,20250108,A001,R020,L001,Noche,499,535,11.1,10.09,1.01
PD000063,20250324,A006,R002,L002,Día,188,168,10.66,9.54,1.12
PD000064,20250327,A006,R029,L005,Noche,647,562,10.32,8.65,1.67
