ProjectFactID,ProjectID,DateKey,AreaID,ClientID,ResponsibleID,StatusID,PriorityID,PlannedProgressPct,ActualProgressPct,PlannedCost,ActualCost,RiskScore,DelayDays
PF00001,PR0001,20250422,A004,C004,R005,S3,P1,58.9,57.3,95666.67,100776.09,49.9,2
PF00002,PR0002,20250212,A003,C008,R011,S4,P3,40.3,36.1,98378.36,94276.34,46.1,5
PF00003,PR0003,20250427,A008,C013,R015,S2,P2,98.1,84.9,73588.66,83013.01,31.8,2
PF00004,PR0004,20250122,A015,C020,R012,S1,P1,89.2,87.4,480105.08,380152.24,62.9,5
PF00005,PR0005,20250620,A015,C017,R028,S2,P3,96.1,82.0,628901.12,723867.7,62.4,3
PF00006,PR0006,20250627,A007,C016,R002,S4,P3,81.4,74.0,417980.39,462623.47,28.8,6
PF00007,PR0007,20250616,A013,C015,R003,S2,P1,95.5,84.1,483456.98,522264.31,32.8,2
PF00008,PR0008,20250518,A014,C011,R001,S2,P3,76.3,68.9,55899.33,40778.84,55.3,4
PF00009,PR0009,20250225,A017,C005,R008,S2,P3,50.2,48.3,621040.65,680480.52,42.5,4
PF00010,PR0010,20250302,A012,C005,R007,S4,P1,67.4,55.0,228422.69,268618.64,62.6,9
PF00011,PR0011,20250411,A005,C005,R025,S2,P2,54.2,48.4,295466.45,270624.57,47.7,7
PF00012,PR0012,20250227,A007,C001,R013,S3,P2,91.3,85.9,109541.75,100023.42,21.6,5
PF00013,PR0013,20250124,A007,C011,R005,S2,P2,39.0,23.4,67913.23,59674.84,53.1,3
PF00014,PR0014,20250422,A001,C002,R009,S1,P3,44.9,44.2,189335.38,191054.19,1.0,3
PF00015,PR0015,20250518,A002,C011,R023,S4,P3,81.2,53.0,97326.4,113037.58,53.4,18
PF00016,PR0016,20250522,A013,C013,R024,S2,P2,46.5,33.6,719711.02,717830.53,38.9,4
PF00017,PR0017,20250122,A015,C010,R004,S2,P2,70.5,60.1,160086.76,163943.13,73.1,6
PF00018,PR0018,20250501,A010,C007,R027,S4,P3,60.8,40.4,689095.98,884420.2,67.3,25
PF00019,PR0019,20250626,A014,C010,R030,S3,P1,62.2,53.4,176696.53,200082.52,32.7,4
PF00020,PR0020,20250113,A005,C005,R015,S4,P2,80.9,71.7,563530.19,537537.9,36.4,7
PF00021,PR0021,20250106,A009,C018,R011,S4,P3,74.5,62.3,640156.08,508021.94,50.1,8
PF00022,PR0022,20250524,A010,C011,R017,S4,P3,91.8,63.5,640292.5,904749.23,58.6,21
