DateKey,Date,Year,Quarter,MonthNumber,MonthName,WeekNumber,DayOfWeek,IsWeekend,_SourceFile,_ExportedAt,_LegacyRowNumber
20250101,2025-01-01,2025,Q1,1,Enero,1,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,1
20250102,2025-01-02,2025,Q1,1,Enero,1,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,2
20250103,2025-01-03,2025,Q1,1,Enero,1,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,3
20250104,2025-01-04,2025,Q1,1,Enero,1,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,4
20250105,2025-01-05,2025,Q1,1,Enero,1,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,5
20250106,2025-01-06,2025,Q1,1,Enero,2,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,6
20250107,2025-01-07,2025,Q1,1,Enero,2,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,7
20250108,2025-01-08,2025,Q1,1,Enero,2,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,8
20250109,2025-01-09,2025,Q1,1,Enero,2,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,9
20250110,2025-01-10,2025,Q1,1,Enero,2,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,10
20250111,2025-01-11,2025,Q1,1,Enero,2,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,11
20250112,2025-01-12,2025,Q1,1,Enero,2,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,12
20250113,2025-01-13,2025,Q1,1,Enero,3,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,13
20250114,2025-01-14,2025,Q1,1,Enero,3,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,14
20250115,2025-01-15,2025,Q1,1,Enero,3,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,15
20250116,2025-01-16,2025,Q1,1,Enero,3,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,16
20250117,2025-01-17,2025,Q1,1,Enero,3,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,17
20250118,2025-01-18,2025,Q1,1,Enero,3,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,18
20250119,2025-01-19,2025,Q1,1,Enero,3,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,19
20250120,2025-01-20,2025,Q1,1,Enero,4,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,20
20250121,2025-01-21,2025,Q1,1,Enero,4,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,21
20250122,2025-01-22,2025,Q1,1,Enero,4,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,22
20250123,2025-01-23,2025,Q1,1,Enero,4,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,23
20250124,2025-01-24,2025,Q1,1,Enero,4,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,24
20250125,2025-01-25,2025,Q1,1,Enero,4,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,25
20250126,2025-01-26,2025,Q1,1,Enero,4,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,26
20250127,2025-01-27,2025,Q1,1,Enero,5,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,27
20250128,2025-01-28,2025,Q1,1,Enero,5,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,28
20250129,2025-01-29,2025,Q1,1,Enero,5,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,29
20250130,2025-01-30,2025,Q1,1,Enero,5,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,30
20250131,2025-01-31,2025,Q1,1,Enero,5,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,31
20250201,2025-02-01,2025,Q1,2,Febrero,5,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,32
20250202,2025-02-02,2025,Q1,2,Febrero,5,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,33
20250203,2025-02-03,2025,Q1,2,Febrero,6,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,34
20250204,2025-02-04,2025,Q1,2,Febrero,6,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,35
20250205,2025-02-05,2025,Q1,2,Febrero,6,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,36
20250206,2025-02-06,2025,Q1,2,Febrero,6,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,37
20250207,2025-02-07,2025,Q1,2,Febrero,6,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,38
20250208,2025-02-08,2025,Q1,2,Febrero,6,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,39
20250209,2025-02-09,2025,Q1,2,Febrero,6,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,40
20250210,2025-02-10,2025,Q1,2,Febrero,7,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,41
20250211,2025-02-11,2025,Q1,2,Febrero,7,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,42
20250212,2025-02-12,2025,Q1,2,Febrero,7,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,43
20250213,2025-02-13,2025,Q1,2,Febrero,7,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,44
20250214,2025-02-14,2025,Q1,2,Febrero,7,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,45
20250215,2025-02-15,2025,Q1,2,Febrero,7,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,46
20250216,2025-02-16,2025,Q1,2,Febrero,7,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,47
20250217,2025-02-17,2025,Q1,2,Febrero,8,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,48
20250218,2025-02-18,2025,Q1,2,Febrero,8,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,49
20250219,2025-02-19,2025,Q1,2,Febrero,8,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,50
20250220,2025-02-20,2025,Q1,2,Febrero,8,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,51
20250221,2025-02-21,2025,Q1,2,Febrero,8,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,52
20250222,2025-02-22,2025,Q1,2,Febrero,8,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,53
20250223,2025-02-23,2025,Q1,2,Febrero,8,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,54
20250224,2025-02-24,2025,Q1,2,Febrero,9,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,55
20250225,2025-02-25,2025,Q1,2,Febrero,9,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,56
20250226,2025-02-26,2025,Q1,2,Febrero,9,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,57
20250227,2025-02-27,2025,Q1,2,Febrero,9,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,58
20250228,2025-02-28,2025,Q1,2,Febrero,9,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,59
20250301,2025-03-01,2025,Q1,3,Marzo,9,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,60
20250302,2025-03-02,2025,Q1,3,Marzo,9,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,61
20250303,2025-03-03,2025,Q1,3,Marzo,10,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,62
20250304,2025-03-04,2025,Q1,3,Marzo,10,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,63
20250305,2025-03-05,2025,Q1,3,Marzo,10,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,64
20250306,2025-03-06,2025,Q1,3,Marzo,10,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,65
20250307,2025-03-07,2025,Q1,3,Marzo,10,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,66
20250308,2025-03-08,2025,Q1,3,Marzo,10,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,67
20250309,2025-03-09,2025,Q1,3,Marzo,10,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,68
20250310,2025-03-10,2025,Q1,3,Marzo,11,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,69
20250311,2025-03-11,2025,Q1,3,Marzo,11,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,70
20250312,2025-03-12,2025,Q1,3,Marzo,11,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,71
20250313,2025-03-13,2025,Q1,3,Marzo,11,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,72
20250314,2025-03-14,2025,Q1,3,Marzo,11,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,73
20250315,2025-03-15,2025,Q1,3,Marzo,11,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,74
20250316,2025-03-16,2025,Q1,3,Marzo,11,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,75
20250317,2025-03-17,2025,Q1,3,Marzo,12,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,76
20250318,2025-03-18,2025,Q1,3,Marzo,12,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,77
20250319,2025-03-19,2025,Q1,3,Marzo,12,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,78
20250320,2025-03-20,2025,Q1,3,Marzo,12,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,79
20250321,2025-03-21,2025,Q1,3,Marzo,12,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,80
20250322,2025-03-22,2025,Q1,3,Marzo,12,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,81
20250323,2025-03-23,2025,Q1,3,Marzo,12,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,82
20250324,2025-03-24,2025,Q1,3,Marzo,13,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,83
20250325,2025-03-25,2025,Q1,3,Marzo,13,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,84
20250326,2025-03-26,2025,Q1,3,Marzo,13,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,85
20250327,2025-03-27,2025,Q1,3,Marzo,13,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,86
20250328,2025-03-28,2025,Q1,3,Marzo,13,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,87
20250329,2025-03-29,2025,Q1,3,Marzo,13,Sábado,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,88
20250330,2025-03-30,2025,Q1,3,Marzo,13,Domingo,True,project_dim_fecha_export.csv,2026-06-23T00:00:00,89
20250331,2025-03-31,2025,Q1,3,Marzo,14,Lunes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,90
20250401,2025-04-01,2025,Q2,4,Abril,14,Martes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,91
20250402,2025-04-02,2025,Q2,4,Abril,14,Miércoles,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,92
20250403,2025-04-03,2025,Q2,4,Abril,14,Jueves,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,93
20250404,2025-04-04,2025,Q2,4,Abril,14,Viernes,False,project_dim_fecha_export.csv,2026-06-23T00:00:00,94
