CostID,DateKey,ProjectID,AreaID,EquipmentID,CostCategory,BudgetAmount,ActualAmount,CommittedAmount,VendorType,_SourceFile,_ExportedAt,_LegacyRowNumber,UnusedERPColumn
CO000001,20250602,PR0031,A003,EQ0001,Repuestos,55982.15,44541.96,43042.64,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,1,legacy-cost-center
CO000002,20250417,PR0077,A001,EQ0030,Repuestos,19461.36,20766.68,6119.92,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,2,legacy-cost-center
CO000003,20250312,PR0024,A004,EQ0030,Servicios,46738.26,46885.26,45055.88,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,3,legacy-cost-center
CO000004,20250407,PR0007,A001,EQ0040,Mano de obra,49599.86,54717.46,37838.99,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,4,legacy-cost-center
CO000005,20250128,PR0049,A006,EQ0013,Mano de obra,62574.05,63981.8,31974.59,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,5,legacy-cost-center
CO000006,20250503,PR0041,A003,EQ0012,Repuestos,8107.74,7597.74,8030.76,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,6,legacy-cost-center
CO000007,20250312,PR0074,A006,EQ0023,Mano de obra,42377.76,50876.95,29454.7,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,7,legacy-cost-center
CO000008,20250407,PR0023,A001,EQ0012,Energía,52491.42,57359.5,20533.25,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,8,legacy-cost-center
CO000009,20250504,PR0025,A003,EQ0034,Mano de obra,41735.1,44484.74,13784.48,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,9,legacy-cost-center
CO000010,20250612,PR0038,A006,EQ0039,Repuestos,25399.32,28620.73,24874.53,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,10,legacy-cost-center
CO000011,20250224,PR0016,A004,EQ0023,Servicios,41183.71,30830.17,42233.47,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,11,legacy-cost-center
CO000012,20250116,PR0067,A002,EQ0040,Servicios,48520.34,59598.78,15159.0,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,12,legacy-cost-center
CO000013,20250529,PR0018,A005,EQ0012,Servicios,34043.62,46168.97,26676.39,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,13,legacy-cost-center
CO000014,20250314,PR0044,A006,EQ0037,Energía,47372.67,42467.61,31011.32,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,14,legacy-cost-center
CO000015,20250523,PR0017,A003,EQ0017,Contratista,67423.85,233323.4,63604.23,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,15,legacy-cost-center
CO000016,20250106,PR0067,A002,EQ0027,Servicios,24965.49,21939.18,27409.16,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,16,legacy-cost-center
CO000017,20250318,PR0011,A005,EQ0018,Materiales,19161.71,25583.21,10992.64,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,17,legacy-cost-center
CO000018,20250415,PR0077,A001,EQ0014,Servicios,57104.37,56724.74,45229.8,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,18,legacy-cost-center
CO000019,20250505,PR0056,A003,EQ0039,Servicios,49869.55,57700.1,12138.79,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,19,legacy-cost-center
CO000020,20250103,PR0048,A006,EQ0029,Energía,37713.18,43209.9,26911.96,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,20,legacy-cost-center
CO000021,20250416,PR0012,A006,EQ0025,Materiales,22985.84,24679.8,15797.2,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,21,legacy-cost-center
CO000022,20250203,PR0046,A006,EQ0029,Materiales,65289.25,70601.81,42565.2,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,22,legacy-cost-center
CO000023,20250521,PR0037,A005,EQ0015,Mano de obra,66283.96,84954.42,66359.38,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,23,legacy-cost-center
CO000024,20250327,PR0071,A002,EQ0024,Servicios,13247.62,13837.25,5910.63,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,24,legacy-cost-center
CO000025,20250213,PR0059,A003,EQ0021,Energía,20880.91,20464.26,11313.3,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,25,legacy-cost-center
CO000026,20250426,PR0059,A003,EQ0005,Repuestos,49734.44,40610.45,19523.02,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,26,legacy-cost-center
CO000027,20250617,PR0080,A006,EQ0018,Energía,57754.17,70892.39,60933.29,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,27,legacy-cost-center
CO000028,20250304,PR0006,A005,EQ0024,Servicios,30309.73,40646.16,19300.1,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,28,legacy-cost-center
CO000029,20250103,PR0007,A001,EQ0020,Energía,20602.41,16484.08,16503.01,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,29,legacy-cost-center
CO000030,20250324,PR0051,A002,EQ0011,Contratista,62183.15,68597.03,55376.26,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,30,legacy-cost-center
CO000031,20250118,PR0029,A005,EQ0023,Servicios,12021.45,13584.5,3370.6,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,31,legacy-cost-center
CO000032,20250121,PR0009,A004,EQ0019,Servicios,27611.22,26165.14,22513.94,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,32,legacy-cost-center
CO000033,20250326,PR0015,A001,EQ0017,Repuestos,56721.79,20238.82,18058.95,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,33,legacy-cost-center
CO000034,20250322,PR0023,A001,EQ0012,Contratista,13113.39,13135.66,13523.45,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,34,legacy-cost-center
CO000035,20250501,PR0004,A001,EQ0002,Contratista,58863.76,39714.01,64211.32,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,35,legacy-cost-center
CO000036,20250416,PR0032,A003,EQ0034,Contratista,6088.39,5523.27,6458.72,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,36,legacy-cost-center
CO000037,20250623,PR0034,A003,EQ0037,Energía,4786.54,5671.97,4674.13,Interno,project_fact_costos_export.csv,2026-06-23T00:00:00,37,legacy-cost-center
CO000038,20250520,PR0077,A001,EQ0001,Mano de obra,43132.84,49555.68,26202.03,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,38,legacy-cost-center
CO000039,20250213,PR0028,A002,EQ0032,Servicios,53785.57,55093.93,27802.81,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,39,legacy-cost-center
CO000040,20250419,PR0074,A006,EQ0016,Materiales,19096.35,19517.71,20500.1,Proveedor local,project_fact_costos_export.csv,2026-06-23T00:00:00,40,legacy-cost-center
CO000041,20250113,PR0067,A002,EQ0018,Materiales,46970.24,49126.37,37178.3,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,41,legacy-cost-center
CO000042,20250517,PR0027,A006,EQ0016,Mano de obra,37989.25,35944.27,9189.8,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,42,legacy-cost-center
CO000043,20250331,PR0056,A003,EQ0026,Servicios,2554.11,2799.71,1846.01,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,43,legacy-cost-center
CO000044,20250508,PR0016,A004,EQ0037,Servicios,37908.77,23798.99,28877.12,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,44,legacy-cost-center
CO000045,20250216,PR0045,A003,EQ0006,Contratista,61731.57,58292.19,56650.58,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,45,legacy-cost-center
CO000046,20250114,PR0080,A006,EQ0012,Servicios,36104.05,35163.11,15267.06,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,46,legacy-cost-center
CO000047,20250124,PR0031,A003,EQ0023,Contratista,39103.52,43007.56,29596.14,Contratista,project_fact_costos_export.csv,2026-06-23T00:00:00,47,legacy-cost-center
CO000048,20250614,PR0031,A003,EQ0022,Repuestos,64674.01,75316.96,32383.6,Proveedor internacional,project_fact_costos_export.csv,2026-06-23T00:00:00,48,legacy-cost-center
