EnergyID,DateKey,AreaID,EquipmentID,LocationID,kWh,EnergyCost,OperatingHours,OutputUnits,Shift,_SourceFile,_ExportedAt,_LegacyRowNumber
EN0000001,20250429,A004,EQ0051,L009,4069.66,423.66,20.12,2908,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,1
EN0000002,20250119,A017,EQ0021,L013,8027.96,1268.16,15.78,4100,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,2
EN0000003,20250302,A017,EQ0055,L013,4724.4,715.41,17.89,2188,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,3
EN0000004,20250408,A004,EQ0048,L009,4725.52,497.17,10.97,1683,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,4
EN0000005,20250420,A004,EQ0046,L009,3673.01,450.91,16.58,132,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,5
EN0000006,20250104,A006,EQ0031,L016,8327.36,792.31,19.27,732,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,6
EN0000007,20250603,A004,EQ0019,L009,9889.71,1027.52,22.67,360,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,7
EN0000008,20250408,A006,EQ0056,L016,3633.22,594.34,22.51,1157,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,8
EN0000009,20250301,A010,EQ0032,L005,4147.97,740.65,19.84,2493,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,9
EN0000010,20250520,A017,EQ0041,L013,733.39,120.51,7.14,1274,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,10
EN0000011,20250411,A009,EQ0043,L006,10447.33,1616.69,20.75,3876,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,11
EN0000012,20250124,A004,EQ0048,L009,3348.31,427.47,21.65,2120,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,12
EN0000013,20250617,A004,EQ0051,L009,2905.63,424.87,23.45,1279,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,13
EN0000014,20250522,A017,EQ0030,L013,7904.07,743.13,20.16,3307,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,14
EN0000015,20250621,A004,EQ0004,L009,4445.0,783.1,11.07,574,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,15
EN0000016,20250222,A012,EQ0045,L015,1096.08,179.43,7.08,3632,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,16
EN0000017,20250317,A004,EQ0007,L009,10685.96,1828.45,23.88,3914,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,17
EN0000018,20250112,A005,EQ0047,L016,1545.53,207.63,7.87,1656,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,18
EN0000019,20250210,A005,EQ0047,L016,2277.36,283.47,7.66,2165,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,19
EN0000020,20250426,A013,EQ0050,L007,8190.03,1157.06,17.15,2453,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,20
EN0000021,20250122,A004,EQ0059,L009,820.12,94.32,4.0,1996,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,21
EN0000022,20250530,A005,EQ0013,L016,2932.98,485.68,23.55,565,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,22
EN0000023,20250121,A017,EQ0040,L013,833.36,138.97,4.72,3573,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,23
EN0000024,20250315,A010,EQ0039,L005,14132.62,1439.17,23.99,1124,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,24
EN0000025,20250311,A005,EQ0001,L016,17149.25,2883.26,23.15,622,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,25
EN0000026,20250526,A012,EQ0045,L015,4666.74,476.79,13.24,1227,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,26
EN0000027,20250520,A008,EQ0012,L006,2437.51,345.71,23.1,313,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,27
EN0000028,20250531,A010,EQ0028,L005,9273.9,884.98,21.03,1694,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,28
EN0000029,20250512,A009,EQ0043,L006,1434.45,217.97,16.23,124,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,29
EN0000030,20250530,A005,EQ0001,L016,3805.02,632.17,13.6,2731,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,30
EN0000031,20250218,A005,EQ0037,L016,5646.9,850.26,22.58,3586,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,31
EN0000032,20250502,A004,EQ0036,L009,3318.72,422.84,19.6,465,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,32
EN0000033,20250103,A004,EQ0051,L009,2535.43,334.67,22.52,172,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,33
EN0000034,20250428,A017,EQ0030,L013,4384.15,542.07,14.33,4083,Noche,project_fact_energia_export.csv,2026-06-23T00:00:00,34
EN0000035,20250309,A004,EQ0036,L009,1724.55,244.27,20.74,2596,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,35
EN0000036,20250512,A004,EQ0007,L009,7311.95,1089.0,21.32,3850,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,36
EN0000037,20250116,A010,EQ0038,L005,7848.27,1231.06,17.46,1481,Día,project_fact_energia_export.csv,2026-06-23T00:00:00,37
EN0000038,20250211,A004,EQ0049,L009,4914.8,864.03,17.15,2000,Tarde,project_fact_energia_export.csv,2026-06-23T00:00:00,38
