IncidentID,DateKey,AreaID,EquipmentID,LocationID,Severity,IncidentType,CorrectiveActionStatus,DaysOpen,LostTimeFlag,RiskCategory,_SourceFile,_ExportedAt,_LegacyRowNumber
IN00001,20250520,A003,EQ0022,L006,Media,Lesión menor,En progreso,87,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,1
IN00002,20250409,A004,EQ0013,L007,Baja,Casi accidente,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,2
IN00003,20250604,A005,EQ0016,L006,Media,Daño equipo,En progreso,48,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,3
IN00004,20250324,A003,EQ0033,L006,Media,Ambiental,En progreso,11,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,4
IN00005,20250331,A005,EQ0016,L006,Alta,Ambiental,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,5
IN00006,20250203,A004,EQ0004,L007,Alta,Daño equipo,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,6
IN00007,20250512,A005,EQ0037,L006,Media,Casi accidente,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,7
IN00008,20250603,A001,EQ0007,L003,Baja,Lesión menor,En progreso,42,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,8
IN00009,20250514,A002,EQ0030,L002,Alta,Casi accidente,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,9
IN00010,20250602,A001,EQ0007,L003,Baja,Casi accidente,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,10
IN00011,20250531,A006,EQ0024,L007,Baja,Ambiental,En progreso,61,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,11
IN00012,20250211,A005,EQ0037,L006,Alta,Daño equipo,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,12
IN00013,20250224,A001,EQ0007,L003,Media,Lesión menor,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,13
