MaintenanceID,DateKey,EquipmentID,AreaID,WorkTypeID,PriorityID,FailureMode,SystemCategory,DowntimeHours,RepairHours,MaintenanceCost,PlannedFlag,_SourceFile,_ExportedAt,_LegacyRowNumber,EquipmentName_Source
MT000001,20250514,EQ0035,A012,WT1,P4,Falla de bomba de pulpa,Bombas,1.41,1.2,1827.04,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,1,Bomba de pulpa Sintético 0035
MT000002,20250122,EQ0030,A017,WT2,P4,Deriva de sensor,Control,4.25,3.69,8984.4,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,2,Switch industrial Sintético 0030
MT000003,20250201,EQ0019,A004,WT1,P3,Bloqueo de chancador,Mecánico,2.77,1.3,5760.8,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,3,Cargador frontal Sintético 0019
MT000004,20250414,EQ0001,A005,WT1,P3,Obstrucción de chute,Seguridad,2.99,2.61,2647.04,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,4,Alimentador Sintético 0001
MT000005,20250402,EQ0059,A004,WT2,P2,Alta vibración,Control,10.54,6.38,6205.0,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,5,Pala eléctrica Sintético 0059
MT000006,20250528,EQ0056,A006,WT2,P2,Desalineamiento de correa,Correas,8.71,4.76,6716.86,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,6,Correa transportadora Sintético 0056
MT000007,20250314,EQ0011,A004,WT2,P3,Deriva de sensor,Mecánico,9.87,5.81,18539.52,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,7,Camión aljibe Sintético 0011
MT000008,20250208,EQ0042,A008,WT1,P3,Trip de variador,Molienda,2.03,1.17,1097.56,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,8,Molino de bolas Sintético 0042
MT000009,20250121,EQ0057,A004,WT2,P3,Falla de motor,Hidráulico,5.91,4.64,15551.14,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,9,Camión CAEX Sintético 0057
MT000010,20250102,EQ0059,A004,WT1,P4,Alta vibración,Mecánico,3.76,2.11,8795.6,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,10,Pala eléctrica Sintético 0059
MT000011,20250120,EQ0001,A005,WT2,P2,Obstrucción de chute,Instrumentación,17.71,13.32,18638.97,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,11,Alimentador Sintético 0001
MT000012,20250309,EQ0034,A005,WT2,P4,Trip de variador,Mecánico,3.24,2.29,3593.07,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,12,Harnero Sintético 0034
MT000013,20250316,EQ0022,A009,WT2,P2,Alta vibración,Mecánico,1.77,0.73,1410.89,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,13,Celda de flotación Sintético 0022
MT000014,20250319,EQ0018,A004,WT1,P3,Falla eléctrica,Mecánico,2.13,1.9,4914.59,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,14,Motoniveladora Sintético 0018
MT000015,20250613,EQ0041,A017,WT2,P1,Alta vibración,Seguridad,7.59,5.26,13524.86,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,15,Sensor de vibración Sintético 0041
MT000016,20250605,EQ0026,A013,WT1,P3,Falla de instrumentación,Seguridad,1.41,1.28,2746.06,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,16,Medidor de energía Sintético 0026
MT000017,20250416,EQ0017,A017,WT1,P2,Pérdida de comunicación PLC,Control,1.98,1.68,3045.97,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,17,Servidor SCADA Sintético 0017
MT000018,20250220,EQ0007,A004,WT2,P3,Alta vibración,Hidráulico,6.27,3.24,14400.27,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,18,Pala eléctrica Sintético 0007
MT000019,20250524,EQ0004,A004,WT1,P1,Fuga hidráulica,Control,1.22,0.69,2734.8,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,19,Perforadora Sintético 0004
MT000020,20250125,EQ0016,A005,WT1,P2,Deriva de sensor,Eléctrico,1.36,0.81,1648.51,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,20,Harnero Sintético 0016
MT000021,20250316,EQ0021,A017,WT1,P4,Falla de bomba de pulpa,Instrumentación,6.01,4.2,3150.89,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,21,Sensor de vibración Sintético 0021
MT000022,20250412,EQ0011,A004,WT2,P2,Falla de motor,Energía,12.38,9.15,6324.34,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,22,Camión aljibe Sintético 0011
MT000023,20250427,EQ0050,A013,WT2,P3,Falla eléctrica,Mecánico,5.12,4.36,6732.21,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,23,Medidor de energía Sintético 0050
MT000024,20250608,EQ0059,A004,WT2,P3,Alta vibración,Hidráulico,6.09,2.92,4297.43,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,24,Pala eléctrica Sintético 0059
MT000025,20250228,EQ0009,A017,WT1,P1,Pérdida de comunicación PLC,Control,5.71,4.41,4168.76,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,25,RTU Sintético 0009
MT000026,20250507,EQ0030,A017,WT2,P1,Falla de instrumentación,Control,5.07,3.28,11974.54,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,26,Switch industrial Sintético 0030
MT000027,20250501,EQ0015,A010,WT1,P4,Bloqueo de chancador,Mecánico,1.39,1.07,3063.51,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,27,Filtro Sintético 0015
MT000028,20250201,EQ0017,A017,WT1,P2,Falla de instrumentación,Control,2.42,2.27,2604.03,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,28,Servidor SCADA Sintético 0017
MT000029,20250430,EQ0001,A005,WT2,P1,Sobrecalentamiento,Instrumentación,3.99,3.42,2541.56,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,29,Alimentador Sintético 0001
MT000030,20250404,EQ0004,A004,WT1,P4,Falla de pala,Mecánico,4.78,2.31,4893.29,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,30,Perforadora Sintético 0004
MT000031,20250116,EQ0033,A008,WT1,P2,Trip de variador,Molienda,1.87,1.63,2469.77,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,31,Molino SAG Sintético 0033
MT000032,20250621,EQ0009,A017,WT1,P4,Falla de instrumentación,Control,2.07,1.26,2403.42,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,32,RTU Sintético 0009
MT000033,20250627,EQ0053,A004,WT2,P2,Falla de bomba de pulpa,Energía,3.55,1.71,2445.9,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,33,Sistema dispatch Sintético 0053
MT000034,20250118,EQ0029,A005,WT1,P3,Falla eléctrica,Chancado,2.24,1.98,3036.34,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,34,Chancador secundario Sintético 0029
MT000035,20250121,EQ0043,A009,WT1,P4,Sobrecalentamiento,Instrumentación,3.69,2.36,6164.24,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,35,Celda de flotación Sintético 0043
MT000036,20250111,EQ0054,A004,WT1,P2,Falla de motor,Mecánico,3.32,3.12,4998.45,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,36,Motoniveladora Sintético 0054
MT000037,20250421,EQ0050,A013,WT2,P1,Deriva de sensor,Energía,3.0,2.45,2083.53,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,37,Medidor de energía Sintético 0050
MT000038,20250625,EQ0002,A004,WT1,P3,Desgaste de neumáticos,Neumáticos,3.92,3.3,4093.96,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,38,Camión CAEX Sintético 0002
MT000039,20250323,EQ0046,A004,WT1,P3,Fuga hidráulica,Control,3.01,2.81,2340.81,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,39,Pala eléctrica Sintético 0046
MT000040,20250116,EQ0049,A004,WT2,P2,Falla de motor,Mecánico,9.09,6.45,29676.58,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,40,Camión CAEX Sintético 0049
MT000041,20250517,EQ0037,A005,WT2,P2,Bloqueo de chancador,Chancado,9.61,8.86,8303.93,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,41,Chancador primario Sintético 0037
MT000042,20250224,EQ0054,A004,WT2,P2,Falla de transmisión,Mecánico,4.58,2.98,9148.81,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,42,Motoniveladora Sintético 0054
MT000043,20250313,EQ0025,A010,WT2,P1,Baja presión,Mecánico,16.93,6.55,14094.63,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,43,Sistema de relaves Sintético 0025
MT000044,20250605,EQ0002,A004,WT1,P3,Desgaste de neumáticos,Mecánico,5.56,2.84,4686.81,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,44,Camión CAEX Sintético 0002
MT000045,20250225,EQ0018,A004,WT2,P3,Falla de bomba de pulpa,Seguridad,10.15,8.19,15468.32,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,45,Motoniveladora Sintético 0018
MT000046,20250625,EQ0025,A010,WT1,P3,Falla de motor,Instrumentación,6.03,4.86,2942.9,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,46,Sistema de relaves Sintético 0025
MT000047,20250409,EQ0009,A017,WT1,P2,Falla de instrumentación,Control,3.16,2.33,5721.79,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,47,RTU Sintético 0009
MT000048,20250227,EQ0055,A017,WT2,P2,Pérdida de comunicación PLC,Control,6.14,3.98,12821.31,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,48,Servidor Historiador Sintético 0055
MT000049,20250323,EQ0004,A004,WT1,P2,Fuga hidráulica,Mecánico,1.24,0.93,1164.74,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,49,Perforadora Sintético 0004
MT000050,20250409,EQ0042,A008,WT2,P3,Alta vibración,Molienda,4.92,2.54,10773.3,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,50,Molino de bolas Sintético 0042
