WorkOrderID,CreatedDateKey,ClosedDateKey,AreaID,EquipmentID,ServiceID,ResponsibleID,WorkTypeID,PriorityID,StatusID,EstimatedHours,ActualHours,IsCritical,ReworkFlag,SourceSystem,_SourceFile,_ExportedAt,_LegacyRowNumber
WO000001,20250104,,A004,EQ0010,SV5,R002,WT4,P3,S2,61.41,116.72,False,False,SAP PM,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,1
WO000002,20250508,20250510,A017,EQ0030,SV3,R021,WT1,P2,S4,11.4,11.62,True,False,Excel Manual,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,2
WO000003,20250109,20250113,A004,EQ0049,SV1,R023,WT6,P3,S4,31.81,27.32,True,False,SAP PM,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,3
WO000004,20250117,,A004,EQ0002,SV6,R019,WT4,P3,S2,39.2,36.8,True,False,Dispatch,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,4
WO000005,20250101,20250110,A017,EQ0024,SV12,R030,WT2,P4,S4,50.34,66.94,False,False,Maximo,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,5
WO000006,20250330,,A006,EQ0031,SV4,R016,WT2,P1,S3,3.6,4.1,True,False,SAP PM,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,6
WO000007,20250412,20250413,A004,EQ0057,SV9,R009,WT2,P1,S4,4.77,6.11,True,False,Maximo,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,7
WO000008,20250504,,A010,EQ0038,SV12,R013,WT8,P4,S1,105.37,103.35,True,False,Dispatch,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,8
WO000009,20250123,20250127,A004,EQ0057,SV4,R003,WT2,P2,S4,20.64,25.75,True,False,Dispatch,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,9
WO000010,20250426,,A005,EQ0013,SV9,R003,WT2,P4,S2,74.53,41.08,True,False,Maximo,project_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,10
