ProductivityID,DateKey,AreaID,ResponsibleID,LocationID,Shift,PlannedOutput,ActualOutput,LaborHours,ProductiveHours,NonProductiveHours,_SourceFile,_ExportedAt,_LegacyRowNumber
PD000001,20250116,A010,R005,L005,Día,2596,2506,11.17,9.69,1.47,project_fact_productividad_export.csv,2026-06-23T00:00:00,1
PD000002,20250527,A015,R024,L003,Noche,210,184,6.57,5.23,1.34,project_fact_productividad_export.csv,2026-06-23T00:00:00,2
PD000003,20250323,A014,R023,L006,Noche,102,114,7.75,5.35,2.4,project_fact_productividad_export.csv,2026-06-23T00:00:00,3
PD000004,20250102,A005,R015,L005,Día,3652,4274,9.84,8.75,1.09,project_fact_productividad_export.csv,2026-06-23T00:00:00,4
PD000005,20250217,A004,R011,L002,Tarde,3493,3618,6.11,4.28,1.83,project_fact_productividad_export.csv,2026-06-23T00:00:00,5
PD000006,20250614,A017,R025,L007,Tarde,156,169,8.27,6.32,1.95,project_fact_productividad_export.csv,2026-06-23T00:00:00,6
PD000007,20250105,A005,R004,L005,Tarde,993,800,11.95,8.17,3.78,project_fact_productividad_export.csv,2026-06-23T00:00:00,7
PD000008,20250506,A005,R020,L003,Tarde,1646,1615,7.14,5.9,1.24,project_fact_productividad_export.csv,2026-06-23T00:00:00,8
PD000009,20250508,A012,R018,L013,Día,139,129,8.68,6.16,2.52,project_fact_productividad_export.csv,2026-06-23T00:00:00,9
PD000010,20250215,A009,R018,L015,Tarde,715,538,9.11,6.57,2.54,project_fact_productividad_export.csv,2026-06-23T00:00:00,10
PD000011,20250530,A002,R022,L009,Día,209,197,11.33,8.58,2.75,project_fact_productividad_export.csv,2026-06-23T00:00:00,11
PD000012,20250407,A012,R019,L014,Día,171,159,7.83,6.09,1.74,project_fact_productividad_export.csv,2026-06-23T00:00:00,12
PD000013,20250128,A015,R015,L014,Tarde,100,92,8.75,7.94,0.81,project_fact_productividad_export.csv,2026-06-23T00:00:00,13
PD000014,20250529,A007,R007,L010,Noche,2889,1589,7.02,5.43,1.59,project_fact_productividad_export.csv,2026-06-23T00:00:00,14
PD000015,20250408,A003,R015,L015,Noche,4663,5125,7.09,5.7,1.38,project_fact_productividad_export.csv,2026-06-23T00:00:00,15
PD000016,20250223,A017,R003,L015,Tarde,244,214,6.68,5.56,1.12,project_fact_productividad_export.csv,2026-06-23T00:00:00,16
PD000017,20250408,A010,R011,L016,Día,3097,2647,6.53,4.91,1.62,project_fact_productividad_export.csv,2026-06-23T00:00:00,17
PD000018,20250603,A005,R009,L015,Noche,1514,1349,8.4,6.43,1.98,project_fact_productividad_export.csv,2026-06-23T00:00:00,18
PD000019,20250409,A015,R016,L016,Día,184,183,11.43,10.39,1.04,project_fact_productividad_export.csv,2026-06-23T00:00:00,19
PD000020,20250605,A008,R016,L014,Día,1127,1022,8.17,7.2,0.97,project_fact_productividad_export.csv,2026-06-23T00:00:00,20
PD000021,20250529,A015,R025,L004,Noche,158,186,11.7,8.79,2.91,project_fact_productividad_export.csv,2026-06-23T00:00:00,21
PD000022,20250126,A002,R016,L002,Tarde,162,160,10.8,9.07,1.73,project_fact_productividad_export.csv,2026-06-23T00:00:00,22
PD000023,20250507,A008,R023,L011,Día,1292,1429,11.93,10.6,1.33,project_fact_productividad_export.csv,2026-06-23T00:00:00,23
PD000024,20250515,A001,R005,L009,Día,5187,5648,10.64,7.94,2.7,project_fact_productividad_export.csv,2026-06-23T00:00:00,24
PD000025,20250314,A001,R027,L005,Tarde,6712,4816,6.46,5.11,1.36,project_fact_productividad_export.csv,2026-06-23T00:00:00,25
PD000026,20250130,A010,R028,L004,Tarde,2140,1639,6.83,5.32,1.51,project_fact_productividad_export.csv,2026-06-23T00:00:00,26
PD000027,20250311,A010,R003,L010,Noche,2197,1666,9.6,7.37,2.23,project_fact_productividad_export.csv,2026-06-23T00:00:00,27
PD000028,20250530,A017,R008,L014,Día,222,191,11.87,8.87,3.0,project_fact_productividad_export.csv,2026-06-23T00:00:00,28
PD000029,20250130,A012,R021,L017,Noche,70,60,9.29,6.96,2.33,project_fact_productividad_export.csv,2026-06-23T00:00:00,29
PD000030,20250208,A009,R022,L015,Tarde,1128,791,10.96,8.55,2.41,project_fact_productividad_export.csv,2026-06-23T00:00:00,30
PD000031,20250522,A008,R010,L005,Noche,724,586,9.81,8.61,1.2,project_fact_productividad_export.csv,2026-06-23T00:00:00,31
PD000032,20250306,A007,R002,L003,Tarde,2240,1732,10.86,8.71,2.16,project_fact_productividad_export.csv,2026-06-23T00:00:00,32
PD000033,20250609,A006,R020,L005,Noche,634,488,9.63,7.82,1.81,project_fact_productividad_export.csv,2026-06-23T00:00:00,33
PD000034,20250407,A013,R029,L009,Noche,131,142,9.73,7.08,2.64,project_fact_productividad_export.csv,2026-06-23T00:00:00,34
PD000035,20250330,A010,R019,L015,Tarde,712,593,11.77,9.58,2.19,project_fact_productividad_export.csv,2026-06-23T00:00:00,35
PD000036,20250211,A004,R010,L016,Día,6601,5391,11.04,8.66,2.37,project_fact_productividad_export.csv,2026-06-23T00:00:00,36
PD000037,20250614,A015,R002,L011,Noche,94,102,11.86,10.73,1.13,project_fact_productividad_export.csv,2026-06-23T00:00:00,37
PD000038,20250112,A011,R004,L016,Noche,248,254,10.93,8.93,2.0,project_fact_productividad_export.csv,2026-06-23T00:00:00,38
PD000039,20250110,A003,R027,L007,Noche,2587,2395,7.17,6.56,0.61,project_fact_productividad_export.csv,2026-06-23T00:00:00,39
PD000040,20250619,A011,R022,L007,Día,150,138,11.18,8.29,2.89,project_fact_productividad_export.csv,2026-06-23T00:00:00,40
PD000041,20250213,A004,R009,L015,Tarde,2747,2561,8.74,6.85,1.89,project_fact_productividad_export.csv,2026-06-23T00:00:00,41
PD000042,20250422,A006,R004,L009,Día,2652,2695,11.43,8.84,2.58,project_fact_productividad_export.csv,2026-06-23T00:00:00,42
PD000043,20250108,A008,R010,L017,Noche,3379,3033,10.07,7.51,2.57,project_fact_productividad_export.csv,2026-06-23T00:00:00,43
PD000044,20250409,A006,R001,L017,Noche,3577,3088,10.46,8.67,1.79,project_fact_productividad_export.csv,2026-06-23T00:00:00,44
PD000045,20250206,A016,R003,L012,Tarde,259,265,11.96,8.81,3.15,project_fact_productividad_export.csv,2026-06-23T00:00:00,45
PD000046,20250512,A008,R018,L013,Día,1966,2114,8.73,6.12,2.62,project_fact_productividad_export.csv,2026-06-23T00:00:00,46
PD000047,20250401,A001,R004,L001,Tarde,7604,7125,10.67,8.26,2.41,project_fact_productividad_export.csv,2026-06-23T00:00:00,47
PD000048,20250611,A005,R021,L010,Día,606,633,6.52,5.8,0.73,project_fact_productividad_export.csv,2026-06-23T00:00:00,48
PD000049,20250430,A010,R021,L007,Día,2536,2083,6.41,4.24,2.17,project_fact_productividad_export.csv,2026-06-23T00:00:00,49
PD000050,20250414,A017,R018,L017,Noche,179,127,9.61,7.7,1.91,project_fact_productividad_export.csv,2026-06-23T00:00:00,50
PD000051,20250529,A009,R007,L012,Tarde,1321,963,10.96,8.6,2.35,project_fact_productividad_export.csv,2026-06-23T00:00:00,51
PD000052,20250611,A007,R015,L015,Día,1891,1349,9.26,5.32,3.94,project_fact_productividad_export.csv,2026-06-23T00:00:00,52
PD000053,20250310,A002,R006,L011,Tarde,52,46,8.52,6.8,1.72,project_fact_productividad_export.csv,2026-06-23T00:00:00,53
PD000054,20250409,A005,R013,L006,Tarde,2717,2730,9.94,7.6,2.34,project_fact_productividad_export.csv,2026-06-23T00:00:00,54
PD000055,20250128,A011,R024,L003,Noche,54,54,11.62,8.31,3.31,project_fact_productividad_export.csv,2026-06-23T00:00:00,55
PD000056,20250104,A001,R012,L017,Tarde,3192,3158,8.88,8.08,0.8,project_fact_productividad_export.csv,2026-06-23T00:00:00,56
PD000057,20250419,A007,R004,L006,Noche,3388,2041,6.25,3.76,2.5,project_fact_productividad_export.csv,2026-06-23T00:00:00,57
PD000058,20250202,A006,R014,L010,Tarde,1426,1508,10.61,9.02,1.59,project_fact_productividad_export.csv,2026-06-23T00:00:00,58
PD000059,20250410,A010,R016,L009,Tarde,3445,3552,6.07,3.74,2.33,project_fact_productividad_export.csv,2026-06-23T00:00:00,59
PD000060,20250506,A010,R006,L014,Tarde,804,638,9.4,7.68,1.72,project_fact_productividad_export.csv,2026-06-23T00:00:00,60
PD000061,20250302,A013,R017,L011,Día,153,132,6.48,5.38,1.1,project_fact_productividad_export.csv,2026-06-23T00:00:00,61
PD000062,20250409,A017,R014,L006,Noche,222,214,10.21,7.37,2.85,project_fact_productividad_export.csv,2026-06-23T00:00:00,62
PD000063,20250330,A007,R001,L006,Noche,3788,2189,7.54,5.72,1.82,project_fact_productividad_export.csv,2026-06-23T00:00:00,63
PD000064,20250303,A010,R012,L007,Tarde,819,581,7.49,5.47,2.02,project_fact_productividad_export.csv,2026-06-23T00:00:00,64
PD000065,20250517,A007,R011,L002,Tarde,1484,1197,11.66,9.56,2.1,project_fact_productividad_export.csv,2026-06-23T00:00:00,65
PD000066,20250211,A017,R024,L003,Noche,156,146,9.57,7.93,1.64,project_fact_productividad_export.csv,2026-06-23T00:00:00,66
PD000067,20250429,A006,R001,L014,Día,1092,1112,8.17,6.57,1.6,project_fact_productividad_export.csv,2026-06-23T00:00:00,67
PD000068,20250123,A016,R019,L016,Noche,43,32,9.51,6.78,2.73,project_fact_productividad_export.csv,2026-06-23T00:00:00,68
