AreaID,AreaName,BusinessUnit,AreaType,ManagerName,LocationID
A001,Mina Rajo Abierto,Operaciones Mina,Mina,Gerente Sintético Mina 01,L002
A002,Despacho Mina,Operaciones Mina,Soporte Operacional,Gerente Sintético Mina 02,L014
A003,Perforación y Tronadura,Operaciones Mina,Mina,Gerente Sintético Mina 03,L012
A004,Carguío y Transporte,Operaciones Mina,Mina,Gerente Sintético Mina 04,L008
A005,Chancado Primario,Planta Concentradora,Planta,Gerente Sintético Mina 05,L008
A006,Transporte por Correas,Planta Concentradora,Planta,Gerente Sintético Mina 06,L015
A007,Planta Concentradora,Planta Concentradora,Planta,Gerente Sintético Mina 07,L002
A008,Molienda,Planta Concentradora,Planta,Gerente Sintético Mina 08,L012
A009,Flotación,Planta Concentradora,Planta,Gerente Sintético Mina 09,L004
A010,Espesamiento y Relaves,Relaves,Planta,Gerente Sintético Mina 10,L002
A011,Taller Mina,Mantenimiento,Mantenimiento,Gerente Sintético Mina 11,L009
A012,Taller Planta,Mantenimiento,Mantenimiento,Gerente Sintético Mina 12,L017
A013,Energía y Servicios,Servicios Mina,Servicios,Gerente Sintético Mina 13,L013
A014,Seguridad HSE,Seguridad,Seguridad,Gerente Sintético Mina 14,L013
A015,Planificación Mina,Ingeniería,Ingeniería,Gerente Sintético Mina 15,L013
A016,Control de Procesos,Automatización,Soporte Operacional,Gerente Sintético Mina 16,L014
A017,Automatización OT,Automatización,Soporte Operacional,Gerente Sintético Mina 17,L009
