ClientID,ClientName,Segment,Region,ContractType
C001,Operaciones Mina Norte,Energía Industrial,Pampa,SLA Operacional
C002,Planta Concentradora Central,Minería,Norte,SLA Operacional
C003,Gerencia de Mantenimiento,Minería,Costa,Proyecto Mina
C004,Gerencia HSE,Mantenimiento Industrial,Cordillera,Servicio Especializado
C005,Gerencia Energía,Minería,Cordillera,Contrato Marco
C006,Gerencia Proyectos Mina,Minería,Cordillera,SLA Operacional
C007,Contrato Servicios Mina,Minería,Centro,Servicio Especializado
C008,Contrato Mantenimiento Planta,Minería,Pampa,Servicio Especializado
C009,Centro Integrado de Operaciones,Minería,Costa,Servicio Especializado
C010,Superintendencia Chancado,Minería,Pampa,Servicio Especializado
C011,Superintendencia Molienda,Minería,Cordillera,SLA Operacional
C012,Superintendencia Relaves,Minería,Norte,Servicio Especializado
C013,Superintendencia Mina,Servicios Mineros,Norte,Proyecto Mina
C014,Contrato Automatización OT,Servicios Mineros,Cordillera,Servicio Especializado
C015,Contrato Energía Planta,Minería,Costa,Contrato Marco
C016,Superintendencia Flotación,Minería,Pampa,Servicio Especializado
C017,Operaciones Mina Norte,Servicios Mineros,Costa,Contrato Marco
C018,Planta Concentradora Central,Energía Industrial,Norte,Contrato Marco
C019,Gerencia de Mantenimiento,Energía Industrial,Norte,Contrato Marco
C020,Gerencia HSE,Minería,Costa,Servicio Especializado
