WorkTypeID,WorkTypeName,WorkCategory,PlannedFlag
WT1,Preventivo,Preventivo,True
WT2,Correctivo no planificado,Correctivo,False
WT3,Predictivo,Predictivo,True
WT4,Inspección operacional,Inspección,True
WT5,Inspección HSE,Inspección,True
WT6,Overhaul,Proyecto,True
WT7,Cambio de componentes,Correctivo,False
WT8,Lubricación,Preventivo,True
WT9,Calibración de instrumentación,Preventivo,True
WT10,Parada planta,Proyecto,True
WT11,Emergencia operacional,Emergencia,False
WT12,Soporte OT,Emergencia,False
