EnergyID,DateKey,AreaID,EquipmentID,LocationID,kWh,EnergyCost,OperatingHours,OutputUnits,Shift
EN0000001,20240113,A010,EQ0052,L002,5979.41,893.42,16.66,2215,Día
EN0000002,20240902,A004,EQ0036,L008,5819.01,926.12,11.64,422,Día
EN0000003,20240308,A010,EQ0023,L002,3063.59,277.51,18.02,720,Tarde
EN0000004,20240810,A004,EQ0009,L008,12106.68,2102.92,23.62,2183,Tarde
EN0000005,20240119,A005,EQ0021,L008,3979.72,492.71,9.97,2525,Tarde
EN0000006,20240329,A006,EQ0051,L015,3240.17,405.3,6.71,3949,Noche
EN0000007,20241121,A017,EQ0013,L009,4947.44,845.39,14.76,1258,Tarde
EN0000008,20240806,A004,EQ0009,L008,2574.78,450.09,7.08,397,Noche
EN0000009,20240723,A004,EQ0053,L008,9735.87,1168.4,23.5,1494,Día
EN0000010,20240714,A012,EQ0044,L017,5435.56,647.34,19.05,3778,Tarde
EN0000011,20240601,A004,EQ0035,L008,6135.28,652.51,14.23,743,Noche
EN0000012,20240109,A006,EQ0051,L015,6582.69,1051.45,17.57,463,Día
EN0000013,20240507,A004,EQ0035,L008,4190.45,407.71,10.69,2084,Noche
EN0000014,20241214,A017,EQ0016,L009,6071.42,1034.65,18.34,2243,Tarde
EN0000015,20241118,A004,EQ0015,L008,2294.43,318.36,10.82,2832,Tarde
EN0000016,20241014,A010,EQ0023,L002,9640.35,1433.56,20.16,4085,Tarde
EN0000017,20240508,A004,EQ0022,L008,2865.38,474.79,5.74,2445,Tarde
EN0000018,20240509,A004,EQ0015,L008,1895.7,242.51,16.35,2706,Noche
EN0000019,20240529,A017,EQ0005,L009,3326.87,320.03,15.86,3478,Tarde
EN0000020,20240602,A017,EQ0001,L009,567.18,91.82,4.74,926,Día
EN0000021,20240128,A013,EQ0020,L013,1579.15,158.52,9.11,3090,Tarde
EN0000022,20240401,A012,EQ0043,L017,1333.22,239.03,14.59,2163,Noche
EN0000023,20241106,A009,EQ0059,L004,1378.87,169.48,7.0,2087,Tarde
EN0000024,20240423,A017,EQ0010,L009,4344.39,575.91,10.35,2919,Día
EN0000025,20240419,A017,EQ0037,L009,1144.79,175.17,9.93,1564,Tarde
EN0000026,20240104,A004,EQ0048,L008,2785.21,385.19,6.3,1792,Noche
EN0000027,20240901,A005,EQ0041,L008,3214.45,405.59,10.15,3910,Tarde
EN0000028,20240827,A005,EQ0041,L008,2512.17,279.82,7.67,2445,Tarde
EN0000029,20240202,A017,EQ0037,L009,1838.19,320.42,20.07,2797,Tarde
EN0000030,20240723,A010,EQ0052,L002,2715.67,320.08,10.28,2421,Noche
EN0000031,20240426,A008,EQ0040,L012,8735.61,1395.5,21.32,3975,Día
EN0000032,20240509,A017,EQ0060,L009,5362.28,799.32,18.02,764,Noche
EN0000033,20240222,A010,EQ0055,L002,8239.99,782.98,23.69,1680,Tarde
EN0000034,20241125,A004,EQ0050,L008,4629.28,434.0,22.64,2014,Tarde
EN0000035,20241001,A005,EQ0056,L008,3992.27,517.48,19.87,2039,Día
EN0000036,20240102,A004,EQ0019,L008,3293.21,486.37,19.14,909,Día
EN0000037,20240924,A004,EQ0003,L008,1657.9,267.3,17.05,1548,Día
EN0000038,20240601,A004,EQ0015,L008,1651.83,235.88,6.43,855,Día
EN0000039,20240923,A004,EQ0017,L008,10376.94,1120.54,23.4,3609,Tarde
EN0000040,20241205,A012,EQ0043,L017,3178.92,412.2,6.69,2324,Día
EN0000041,20240320,A008,EQ0011,L012,5446.75,541.34,17.42,1465,Tarde
EN0000042,20240428,A005,EQ0054,L008,2207.07,241.49,6.86,1383,Día
EN0000043,20240809,A010,EQ0055,L002,1099.39,143.63,6.42,1772,Día
EN0000044,20240614,A004,EQ0025,L008,6075.11,765.24,17.96,1859,Día
EN0000045,20240205,A004,EQ0048,L008,4376.26,756.71,14.3,1690,Noche
EN0000046,20240109,A017,EQ0027,L009,5675.71,520.99,17.39,521,Noche
EN0000047,20240305,A005,EQ0056,L008,7149.11,704.78,20.2,3930,Noche
EN0000048,20240514,A010,EQ0023,L002,2949.66,515.59,5.76,274,Noche
EN0000049,20241218,A004,EQ0003,L008,5878.96,700.27,21.17,2088,Día
EN0000050,20240501,A004,EQ0002,L008,1721.68,199.38,5.6,1369,Tarde
EN0000051,20240705,A017,EQ0037,L009,6545.98,1167.78,22.01,2468,Noche
EN0000052,20241011,A004,EQ0036,L008,5068.71,576.17,17.19,2159,Noche
EN0000053,20240824,A004,EQ0003,L008,6158.23,679.29,13.69,2682,Día
EN0000054,20240619,A004,EQ0047,L008,2313.83,245.04,13.27,2569,Noche
EN0000055,20240128,A008,EQ0011,L012,2193.8,319.47,4.41,2616,Noche
EN0000056,20241119,A010,EQ0055,L002,2054.14,295.83,11.62,2872,Día
EN0000057,20240315,A004,EQ0050,L008,3002.22,363.03,6.22,3575,Día
EN0000058,20241114,A004,EQ0042,L008,4197.07,559.05,16.46,1971,Día
EN0000059,20241130,A004,EQ0038,L008,1929.82,296.73,18.18,1462,Tarde
EN0000060,20241008,A017,EQ0037,L009,8698.01,1159.48,22.94,1660,Noche
EN0000061,20240127,A010,EQ0033,L002,9130.99,1481.87,19.29,721,Noche
EN0000062,20240903,A004,EQ0007,L008,9115.74,1092.3,23.41,3308,Tarde
EN0000063,20240714,A004,EQ0002,L008,1119.18,102.24,8.55,2181,Tarde
EN0000064,20240812,A005,EQ0049,L008,4121.34,423.63,17.78,2456,Día
EN0000065,20241031,A004,EQ0017,L008,1039.97,151.26,9.15,4037,Día
EN0000066,20240905,A009,EQ0059,L004,3821.69,497.8,7.36,1324,Tarde
EN0000067,20241118,A004,EQ0022,L008,2297.47,398.82,14.18,997,Noche
EN0000068,20240720,A017,EQ0031,L009,6480.1,699.05,14.12,1915,Tarde
EN0000069,20240407,A004,EQ0026,L008,2768.7,286.51,22.81,2525,Tarde
EN0000070,20240725,A006,EQ0030,L015,1586.79,228.88,16.38,2037,Noche
EN0000071,20240129,A017,EQ0008,L009,5318.29,858.64,11.93,3472,Tarde
EN0000072,20240611,A005,EQ0006,L008,4600.58,636.6,16.79,3648,Día
EN0000073,20240403,A004,EQ0015,L008,1864.85,228.13,5.94,2117,Noche
EN0000074,20241219,A013,EQ0020,L013,8208.62,1034.38,22.22,970,Tarde
EN0000075,20240803,A005,EQ0041,L008,1510.79,198.91,9.93,3325,Tarde
EN0000076,20240102,A005,EQ0054,L008,2223.52,389.22,8.22,3895,Día
EN0000077,20240816,A004,EQ0038,L008,1838.69,201.96,13.05,2621,Día
EN0000078,20240430,A004,EQ0046,L008,2786.71,278.21,14.74,2595,Día
EN0000079,20240826,A004,EQ0022,L008,6867.21,952.44,16.94,1397,Noche
EN0000080,20240302,A017,EQ0037,L009,6023.36,869.13,17.67,1448,Día
EN0000081,20240430,A004,EQ0022,L008,1514.53,246.47,10.67,3929,Día
EN0000082,20240729,A017,EQ0005,L009,4708.94,766.1,16.62,128,Tarde
EN0000083,20240704,A004,EQ0050,L008,1143.98,138.25,8.61,1211,Tarde
EN0000084,20240530,A005,EQ0056,L008,5881.02,906.26,19.37,2921,Noche
