IncidentID,DateKey,AreaID,EquipmentID,LocationID,Severity,IncidentType,CorrectiveActionStatus,DaysOpen,LostTimeFlag,RiskCategory
IN00001,20240727,A017,EQ0027,L009,Media,Condición subestándar,En Proceso,53,False,Seguridad
IN00002,20241007,A012,EQ0044,L017,Baja,Bloqueo y etiquetado,Cerrada,0,False,Operación
IN00003,20240922,A004,EQ0036,L008,Baja,Incidente operacional,Vencida,93,False,Operación
IN00004,20241119,A005,EQ0021,L008,Media,Falla de control crítico,En Proceso,32,False,Seguridad
IN00005,20241016,A010,EQ0034,L002,Baja,Acto subestándar,Cerrada,0,False,Operación
IN00006,20241220,A008,EQ0032,L012,Baja,Casi accidente,En Proceso,25,False,Seguridad
IN00007,20240606,A017,EQ0008,L009,Baja,Evento HSE,Abierta,70,False,Operación
IN00008,20240121,A006,EQ0030,L015,Alta,Acto subestándar,Abierta,87,False,Calidad
IN00009,20240717,A017,EQ0013,L009,Media,Casi accidente,En Proceso,35,False,Operación
IN00010,20240218,A017,EQ0005,L009,Baja,Condición subestándar,Cerrada,0,False,Geotecnia
IN00011,20240209,A005,EQ0056,L008,Alta,Derrame menor,En Proceso,43,False,Operación
IN00012,20240331,A017,EQ0024,L009,Baja,Evento HSE,En Proceso,53,False,Geotecnia
IN00013,20240218,A005,EQ0049,L008,Media,Evento en correa,En Proceso,53,False,Seguridad
IN00014,20241215,A004,EQ0015,L008,Media,Condición subestándar,Cerrada,0,False,Ambiente
IN00015,20240724,A017,EQ0010,L009,Baja,Evento en taller,Cerrada,0,False,Seguridad
IN00016,20241220,A004,EQ0036,L008,Alta,Incidente operacional,En Proceso,118,True,Ambiente
IN00017,20240728,A010,EQ0014,L002,Baja,Evento en correa,En Proceso,58,False,Ambiente
IN00018,20240729,A005,EQ0058,L008,Baja,Derrame menor,En Proceso,92,True,Seguridad
IN00019,20240128,A010,EQ0014,L002,Alta,Evento en correa,Vencida,34,True,Seguridad
IN00020,20240925,A004,EQ0047,L008,Media,Condición subestándar,Vencida,82,False,Calidad
IN00021,20240625,A017,EQ0013,L009,Alta,Evento en correa,Cerrada,0,False,Operación
IN00022,20240620,A010,EQ0055,L002,Alta,Exposición a energía,Abierta,28,False,Operación
IN00023,20241209,A005,EQ0041,L008,Alta,Evento HSE,Cerrada,0,False,Operación
IN00024,20241126,A006,EQ0030,L015,Media,Acto subestándar,Abierta,87,False,Ambiente
IN00025,20240714,A009,EQ0018,L004,Baja,Incidente de tránsito mina,Abierta,16,False,Ambiente
IN00026,20240209,A017,EQ0004,L009,Media,Casi accidente,Cerrada,0,False,Calidad
IN00027,20241009,A008,EQ0032,L012,Media,Acto subestándar,Cerrada,0,False,Calidad
IN00028,20241020,A004,EQ0015,L008,Crítica,Derrame menor,Cerrada,0,False,Calidad
IN00029,20240128,A004,EQ0025,L008,Alta,Riesgo geotécnico,Abierta,39,False,Operación
IN00030,20240623,A004,EQ0029,L008,Alta,Exposición a energía,En Proceso,55,True,Geotecnia
IN00031,20240411,A004,EQ0009,L008,Baja,Evento HSE,Cerrada,0,False,Ambiente
IN00032,20240615,A004,EQ0022,L008,Alta,Evento en correa,Vencida,111,False,Geotecnia
IN00033,20241021,A008,EQ0011,L012,Media,Falla de control crítico,Cerrada,0,False,Geotecnia
IN00034,20240727,A005,EQ0028,L008,Alta,Evento HSE,En Proceso,73,False,Calidad
IN00035,20240311,A004,EQ0036,L008,Media,Bloqueo y etiquetado,En Proceso,27,True,Ambiente
IN00036,20240622,A004,EQ0053,L008,Alta,Riesgo geotécnico,Vencida,106,True,Geotecnia
IN00037,20240904,A017,EQ0013,L009,Alta,Casi accidente,Cerrada,0,False,Ambiente
IN00038,20241108,A017,EQ0001,L009,Media,Evento en taller,Abierta,96,False,Seguridad
IN00039,20240215,A017,EQ0037,L009,Media,Evento en correa,Cerrada,0,False,Ambiente
IN00040,20240328,A017,EQ0013,L009,Media,Bloqueo y etiquetado,Cerrada,0,False,Ambiente
IN00041,20240411,A017,EQ0031,L009,Baja,Incidente operacional,Cerrada,0,True,Seguridad
IN00042,20240216,A009,EQ0059,L004,Baja,Incidente operacional,Cerrada,0,False,Geotecnia
IN00043,20240524,A017,EQ0024,L009,Crítica,Exposición a energía,Cerrada,0,False,Ambiente
IN00044,20240822,A017,EQ0037,L009,Media,Acto subestándar,Cerrada,0,False,Geotecnia
IN00045,20240810,A005,EQ0054,L008,Baja,Casi accidente,Cerrada,0,True,Seguridad
IN00046,20241001,A010,EQ0023,L002,Alta,Acto subestándar,Cerrada,0,False,Operación
IN00047,20240430,A017,EQ0010,L009,Baja,Incidente operacional,Cerrada,0,False,Operación
IN00048,20240630,A017,EQ0013,L009,Media,Evento HSE,Cerrada,0,False,Geotecnia
IN00049,20241203,A017,EQ0001,L009,Media,Exposición a energía,Abierta,7,False,Calidad
IN00050,20240826,A004,EQ0026,L008,Alta,Condición subestándar,Vencida,20,False,Seguridad
IN00051,20240607,A005,EQ0049,L008,Media,Casi accidente,Cerrada,0,False,Operación
IN00052,20240625,A005,EQ0049,L008,Alta,Riesgo geotécnico,En Proceso,10,False,Seguridad
IN00053,20240406,A017,EQ0013,L009,Baja,Casi accidente,Abierta,31,False,Ambiente
IN00054,20241031,A009,EQ0059,L004,Media,Condición subestándar,Cerrada,0,False,Calidad
IN00055,20240523,A005,EQ0028,L008,Baja,Casi accidente,Vencida,90,False,Calidad
IN00056,20240917,A017,EQ0016,L009,Alta,Incidente de tránsito mina,En Proceso,25,False,Seguridad
IN00057,20240727,A017,EQ0008,L009,Media,Evento en correa,Cerrada,0,False,Geotecnia
IN00058,20241217,A005,EQ0049,L008,Baja,Evento en correa,Vencida,95,False,Geotecnia
IN00059,20240419,A004,EQ0053,L008,Media,Exposición a energía,Cerrada,0,False,Calidad
IN00060,20240809,A004,EQ0003,L008,Alta,Acto subestándar,Cerrada,0,False,Geotecnia
IN00061,20240917,A004,EQ0038,L008,Baja,Condición subestándar,Vencida,51,False,Geotecnia
IN00062,20240903,A004,EQ0046,L008,Baja,Acto subestándar,Abierta,8,False,Geotecnia
IN00063,20241202,A009,EQ0059,L004,Media,Exposición a energía,Cerrada,0,False,Operación
IN00064,20240713,A006,EQ0051,L015,Media,Incidente operacional,Cerrada,0,False,Calidad
IN00065,20240601,A006,EQ0030,L015,Alta,Acto subestándar,En Proceso,68,False,Seguridad
IN00066,20240718,A004,EQ0019,L008,Alta,Evento en correa,Vencida,92,True,Seguridad
IN00067,20240418,A009,EQ0059,L004,Baja,Derrame menor,Cerrada,0,False,Ambiente
IN00068,20240129,A012,EQ0043,L017,Media,Incidente operacional,Cerrada,0,False,Geotecnia
IN00069,20241124,A017,EQ0016,L009,Baja,Acto subestándar,En Proceso,45,False,Ambiente
IN00070,20240612,A005,EQ0058,L008,Media,Exposición a energía,Cerrada,0,False,Geotecnia
IN00071,20240924,A005,EQ0028,L008,Baja,Bloqueo y etiquetado,Cerrada,0,False,Operación
IN00072,20240327,A008,EQ0040,L012,Baja,Riesgo geotécnico,Cerrada,0,False,Calidad
IN00073,20240306,A006,EQ0030,L015,Alta,Incidente de tránsito mina,Cerrada,0,False,Calidad
IN00074,20241220,A004,EQ0036,L008,Baja,Incidente operacional,Cerrada,0,False,Seguridad
IN00075,20240307,A004,EQ0029,L008,Media,Exposición a energía,Vencida,69,False,Ambiente
IN00076,20241124,A017,EQ0005,L009,Media,Evento HSE,En Proceso,98,True,Geotecnia
