MaintenanceID,DateKey,EquipmentID,AreaID,WorkTypeID,PriorityID,FailureMode,SystemCategory,DowntimeHours,RepairHours,MaintenanceCost,PlannedFlag
MT000001,20241106,EQ0038,A001,WT1,P3,Falla eléctrica,Mecánico,1.07,0.69,308.84,True
MT000002,20241013,EQ0012,A003,WT2,P3,No aplica,TI/OT,2.8,2.64,1386.45,False
MT000003,20240613,EQ0009,A003,WT2,P1,Vibración,Control,2.93,1.56,2567.45,False
MT000004,20240410,EQ0031,A005,WT1,P2,Calibración,Energía,0.87,0.41,769.09,True
MT000005,20240529,EQ0022,A004,WT2,P2,Sobrecalentamiento,Eléctrico,10.36,6.5,4793.42,False
MT000006,20240303,EQ0006,A006,WT1,P3,Desgaste,Mecánico,0.76,0.37,385.8,True
MT000007,20240710,EQ0026,A003,WT1,P3,Calibración,TI/OT,2.46,1.62,587.72,True
MT000008,20240221,EQ0036,A003,WT1,P3,Vibración,Energía,0.92,0.68,318.08,True
MT000009,20241004,EQ0026,A003,WT2,P1,Calibración,Mecánico,8.37,5.17,1620.56,False
MT000010,20240207,EQ0030,A006,WT1,P2,Vibración,Energía,3.72,2.0,2196.31,True
MT000011,20240529,EQ0007,A005,WT2,P3,Vibración,Eléctrico,3.16,2.06,2972.07,False
MT000012,20240416,EQ0024,A005,WT1,P3,Vibración,Energía,2.1,1.75,613.47,True
MT000013,20240816,EQ0028,A006,WT2,P3,Falla eléctrica,TI/OT,9.62,8.18,8770.74,False
MT000014,20240919,EQ0023,A001,WT2,P3,Sobrecalentamiento,Mecánico,7.18,2.9,3542.46,False
MT000015,20240522,EQ0038,A001,WT2,P1,Sobrecalentamiento,Energía,3.21,1.36,702.79,False
MT000016,20240414,EQ0039,A004,WT2,P3,Sobrecalentamiento,Eléctrico,3.95,3.57,1198.61,False
MT000017,20241202,EQ0022,A004,WT1,P2,Falla eléctrica,Mecánico,0.91,0.48,482.41,True
MT000018,20241102,EQ0035,A003,WT1,P2,Falla eléctrica,Energía,0.89,0.56,302.11,True
MT000019,20241104,EQ0004,A003,WT1,P3,No aplica,Eléctrico,0.98,0.45,681.03,True
MT000020,20240502,EQ0037,A003,WT2,P3,Calibración,Control,13.78,8.05,4989.59,False
MT000021,20240116,EQ0006,A006,WT1,P3,Sobrecalentamiento,Control,1.8,1.47,1397.4,True
MT000022,20240915,EQ0033,A005,WT1,P2,Sobrecalentamiento,TI/OT,1.28,0.55,437.41,True
MT000023,20240317,EQ0018,A001,WT1,P3,Sobrecalentamiento,Eléctrico,1.77,1.15,1119.99,True
MT000024,20240318,EQ0015,A001,WT1,P3,Sobrecalentamiento,Eléctrico,4.87,3.6,2837.51,True
MT000025,20241018,EQ0034,A002,WT2,P3,Calibración,Energía,3.94,2.2,3146.17,False
