ProductivityID,DateKey,AreaID,ResponsibleID,LocationID,Shift,PlannedOutput,ActualOutput,LaborHours,ProductiveHours,NonProductiveHours
PD000001,20241109,A001,R029,L007,Noche,456,316,10.7,8.82,1.88
PD000002,20241219,A002,R016,L004,Noche,340,281,9.84,6.82,3.02
PD000003,20240320,A001,R019,L004,Noche,314,219,6.64,4.09,2.54
PD000004,20240401,A003,R022,L004,Día,568,466,11.03,7.59,3.44
PD000005,20240515,A001,R019,L005,Tarde,848,698,9.16,8.17,0.99
PD000006,20241204,A005,R019,L006,Tarde,543,483,8.78,7.39,1.39
PD000007,20240825,A003,R012,L002,Tarde,623,501,7.94,5.46,2.48
PD000008,20241130,A001,R011,L003,Noche,609,576,10.69,8.55,2.14
PD000009,20240228,A001,R012,L006,Tarde,181,142,10.65,8.37,2.28
PD000010,20241207,A002,R016,L005,Día,218,223,10.47,8.99,1.49
PD000011,20241117,A001,R028,L004,Noche,825,601,7.13,5.52,1.6
PD000012,20240220,A006,R005,L003,Tarde,479,466,7.47,5.53,1.94
PD000013,20240127,A003,R003,L004,Tarde,898,922,9.74,6.92,2.82
PD000014,20241221,A006,R005,L002,Noche,222,231,8.33,6.22,2.11
PD000015,20240128,A006,R026,L007,Día,225,190,6.08,4.36,1.72
PD000016,20240409,A005,R025,L005,Noche,114,106,6.37,5.57,0.8
PD000017,20241120,A003,R012,L001,Día,198,187,8.02,5.96,2.06
PD000018,20240128,A006,R014,L007,Noche,650,587,7.54,6.15,1.39
PD000019,20241021,A003,R019,L002,Noche,811,892,6.69,5.71,0.97
PD000020,20240705,A005,R027,L002,Tarde,225,245,11.98,8.65,3.33
PD000021,20240520,A004,R025,L001,Tarde,632,412,6.42,5.21,1.21
PD000022,20240113,A005,R021,L004,Noche,661,679,9.29,6.94,2.35
PD000023,20240617,A003,R019,L001,Noche,458,458,8.44,7.0,1.44
PD000024,20240122,A005,R009,L002,Noche,79,80,11.42,8.35,3.08
PD000025,20240422,A005,R027,L001,Noche,856,851,10.16,7.87,2.29
PD000026,20240925,A002,R013,L003,Noche,509,453,6.7,5.48,1.22
PD000027,20241124,A003,R011,L003,Noche,208,236,11.21,10.07,1.14
PD000028,20240321,A006,R027,L001,Día,505,312,8.25,6.12,2.13
PD000029,20241220,A001,R004,L004,Día,419,238,6.27,4.41,1.85
PD000030,20241125,A002,R026,L007,Día,443,352,9.23,6.91,2.33
PD000031,20240316,A005,R023,L005,Noche,739,721,8.21,5.59,2.63
PD000032,20241020,A006,R013,L003,Tarde,612,517,7.94,6.8,1.14
PD000033,20240713,A005,R013,L003,Tarde,268,254,10.31,7.38,2.93
PD000034,20240622,A005,R026,L007,Día,332,281,7.88,6.04,1.83
PD000035,20241202,A004,R021,L001,Día,131,107,8.93,6.77,2.16
PD000036,20241125,A001,R024,L004,Noche,707,632,10.88,8.02,2.87
PD000037,20241001,A002,R027,L004,Noche,321,321,9.34,6.98,2.36
PD000038,20241225,A005,R013,L005,Noche,871,1049,10.78,8.81,1.97
PD000039,20240623,A005,R003,L006,Día,749,728,10.62,8.26,2.37
PD000040,20240702,A004,R024,L001,Día,531,470,9.76,8.4,1.36
PD000041,20240730,A001,R007,L006,Día,190,136,9.98,7.71,2.27
PD000042,20240108,A003,R004,L005,Día,881,614,11.81,9.19,2.63
PD000043,20241101,A005,R022,L002,Tarde,673,680,11.91,9.76,2.15
PD000044,20240306,A005,R010,L006,Día,543,521,11.31,8.78,2.53
PD000045,20241104,A001,R013,L001,Noche,568,414,11.93,10.25,1.68
PD000046,20240301,A004,R020,L003,Tarde,631,598,8.31,6.56,1.75
PD000047,20240106,A005,R024,L003,Noche,503,414,7.16,5.69,1.47
PD000048,20240102,A006,R019,L001,Día,320,214,7.75,6.23,1.52
PD000049,20240214,A003,R024,L002,Tarde,523,478,6.5,5.0,1.49
PD000050,20240423,A004,R018,L006,Día,811,730,8.56,6.2,2.36
PD000051,20240909,A004,R020,L003,Noche,332,321,6.54,4.33,2.21
PD000052,20240723,A003,R015,L001,Tarde,113,108,9.83,8.09,1.73
PD000053,20240914,A002,R008,L005,Tarde,384,365,7.19,4.83,2.35
PD000054,20240802,A001,R001,L003,Día,303,195,11.94,6.61,5.33
PD000055,20240427,A003,R008,L001,Tarde,249,294,10.44,9.53,0.91
PD000056,20240619,A003,R021,L003,Día,85,92,8.21,5.78,2.43
PD000057,20240325,A004,R022,L006,Día,172,142,10.58,8.78,1.8
PD000058,20241223,A005,R008,L001,Día,851,940,8.51,6.87,1.64
PD000059,20240924,A006,R007,L004,Tarde,441,436,7.01,6.0,1.01
PD000060,20240729,A003,R029,L007,Día,107,81,7.02,4.69,2.33
PD000061,20241209,A003,R009,L006,Día,366,396,8.32,6.67,1.65
PD000062,20240411,A006,R024,L002,Tarde,625,553,9.07,6.34,2.72
PD000063,20241210,A006,R009,L003,Tarde,119,106,11.41,9.79,1.62
PD000064,20240523,A005,R015,L005,Tarde,397,364,8.12,6.72,1.4
PD000065,20240114,A002,R030,L005,Noche,832,796,10.87,8.51,2.36
PD000066,20240403,A002,R026,L002,Noche,83,75,6.72,4.72,2.0
PD000067,20240508,A005,R018,L005,Noche,487,514,10.64,7.87,2.77
PD000068,20240414,A002,R022,L001,Noche,691,788,8.35,6.18,2.17
PD000069,20240223,A001,R013,L002,Noche,286,223,7.86,6.51,1.34
PD000070,20240412,A002,R030,L002,Día,720,546,9.16,7.68,1.48
PD000071,20240512,A001,R011,L006,Tarde,817,657,10.7,8.03,2.66
PD000072,20240118,A003,R012,L004,Tarde,277,230,8.9,6.57,2.33
PD000073,20240909,A005,R001,L005,Día,822,718,8.55,6.14,2.42
PD000074,20240613,A003,R010,L006,Día,291,225,10.77,8.49,2.28
PD000075,20241231,A006,R027,L002,Noche,864,859,10.68,8.22,2.46
PD000076,20240315,A002,R022,L006,Noche,77,59,9.57,8.71,0.86
PD000077,20240412,A002,R022,L006,Tarde,448,360,9.18,6.48,2.7
PD000078,20241129,A004,R019,L006,Tarde,572,648,6.99,4.7,2.29
PD000079,20240531,A003,R026,L006,Noche,342,261,9.18,6.81,2.37
PD000080,20240917,A003,R028,L001,Día,525,414,6.56,5.5,1.06
PD000081,20241203,A001,R022,L004,Noche,592,516,11.4,8.36,3.04
PD000082,20241025,A006,R011,L002,Noche,616,571,8.26,5.77,2.5
PD000083,20240716,A006,R002,L004,Noche,787,631,8.89,7.5,1.4
PD000084,20240619,A003,R019,L001,Noche,93,76,8.34,6.61,1.73
PD000085,20240313,A002,R006,L002,Tarde,596,754,10.36,9.0,1.36
PD000086,20240102,A002,R023,L007,Noche,584,606,8.67,7.5,1.17
PD000087,20241116,A001,R008,L002,Noche,813,685,10.95,9.75,1.21
PD000088,20240310,A005,R025,L003,Noche,268,279,9.48,7.88,1.6
PD000089,20241225,A001,R011,L005,Día,255,190,6.44,3.97,2.47
PD000090,20240421,A004,R009,L006,Noche,353,338,7.69,5.7,1.99
PD000091,20241106,A002,R014,L006,Noche,66,66,11.43,8.43,3.0
PD000092,20240528,A001,R005,L002,Día,795,590,6.4,5.61,0.79
PD000093,20240217,A003,R009,L006,Día,98,93,11.75,9.54,2.21
PD000094,20240511,A004,R005,L004,Noche,612,688,11.07,8.74,2.32
PD000095,20240415,A002,R026,L005,Día,453,363,10.77,9.79,0.98
PD000096,20241112,A004,R003,L003,Día,383,337,11.01,8.24,2.76
PD000097,20240722,A001,R006,L004,Noche,311,204,9.95,7.73,2.22
PD000098,20240502,A003,R019,L004,Tarde,785,809,6.6,5.18,1.42
PD000099,20241217,A001,R025,L004,Día,118,109,9.18,7.98,1.2
PD000100,20240130,A006,R025,L004,Día,737,561,9.35,7.02,2.32
PD000101,20240208,A002,R018,L003,Noche,801,721,7.18,5.58,1.6
PD000102,20240429,A006,R006,L002,Noche,74,63,11.52,8.1,3.43
PD000103,20240530,A006,R013,L004,Noche,495,494,10.6,9.04,1.57
PD000104,20240224,A003,R004,L001,Tarde,450,423,10.12,8.56,1.56
