ProjectFactID,ProjectID,DateKey,AreaID,ClientID,ResponsibleID,StatusID,PriorityID,PlannedProgressPct,ActualProgressPct,PlannedCost,ActualCost,RiskScore,DelayDays
PF00001,PR0001,20241231,A006,C017,R013,S4,P3,98.6,82.5,198745.24,212034.08,25.2,11
PF00002,PR0002,20241201,A006,C013,R018,S2,P3,61.8,50.2,347901.47,413356.47,43.2,6
PF00003,PR0003,20240818,A004,C020,R017,S2,P2,86.6,83.5,336579.95,350634.76,77.4,2
PF00004,PR0004,20240818,A001,C017,R021,S4,P4,40.5,24.5,38129.75,34721.97,66.4,3
PF00005,PR0005,20240523,A001,C020,R008,S2,P3,71.1,62.6,254384.03,284638.24,32.5,2
PF00006,PR0006,20240305,A002,C005,R020,S2,P1,87.1,78.5,123073.58,139139.37,49.0,3
PF00007,PR0007,20240104,A004,C006,R014,S2,P1,95.1,78.3,318471.47,349859.75,45.0,3
PF00008,PR0008,20240504,A001,C017,R029,S2,P4,88.5,87.4,39662.29,44003.72,50.1,2
PF00009,PR0009,20240425,A003,C005,R005,S2,P1,37.4,22.6,329159.08,378085.5,50.7,15
PF00010,PR0010,20240311,A001,C002,R005,S4,P2,59.2,48.7,297179.62,269994.01,43.4,4
PF00011,PR0011,20240404,A004,C014,R014,S3,P2,38.2,34.7,63188.92,57869.47,16.2,4
PF00012,PR0012,20240110,A001,C017,R016,S4,P2,42.1,29.9,44442.91,36609.6,47.4,2
PF00013,PR0013,20240810,A005,C020,R021,S4,P2,78.9,75.0,296279.99,310629.97,53.1,2
PF00014,PR0014,20241205,A001,C019,R013,S2,P3,81.4,79.6,75621.24,76376.4,40.9,1
PF00015,PR0015,20240909,A002,C003,R028,S2,P1,85.3,81.6,198841.9,192320.18,15.9,5
PF00016,PR0016,20240613,A002,C016,R015,S4,P4,91.3,83.7,322617.08,214645.45,62.8,7
PF00017,PR0017,20240602,A005,C017,R004,S2,P4,83.1,79.9,209420.64,182263.37,51.6,7
PF00018,PR0018,20240422,A001,C014,R004,S4,P2,87.1,84.7,154100.82,177909.53,31.9,3
PF00019,PR0019,20240222,A003,C017,R030,S4,P2,38.2,10.3,169630.22,231204.62,57.0,33
PF00020,PR0020,20240807,A004,C017,R005,S2,P3,50.2,44.4,45513.08,48392.74,18.0,7
PF00021,PR0021,20240726,A004,C009,R029,S2,P1,75.4,68.9,339844.5,289927.37,26.5,5
PF00022,PR0022,20240103,A005,C001,R009,S2,P2,90.8,89.8,125962.61,150228.63,35.3,3
PF00023,PR0023,20240601,A005,C010,R003,S2,P4,35.3,28.9,86543.13,86778.24,67.1,5
PF00024,PR0024,20240411,A003,C005,R010,S2,P4,68.5,45.6,117965.37,158288.88,55.2,38
PF00025,PR0025,20240303,A005,C003,R019,S2,P3,79.0,68.0,338421.29,439640.92,56.5,6
PF00026,PR0026,20240914,A002,C003,R013,S4,P2,36.9,33.2,55642.97,66881.34,35.3,7
PF00027,PR0027,20240711,A006,C014,R024,S4,P3,61.1,45.1,306873.49,301721.74,49.5,5
PF00028,PR0028,20240819,A004,C011,R019,S4,P3,93.2,76.5,255049.27,241994.21,42.5,4
PF00029,PR0029,20240918,A005,C011,R013,S2,P2,78.7,76.9,294756.23,289136.58,60.7,9
PF00030,PR0030,20241225,A006,C015,R020,S2,P3,50.4,48.5,342166.7,369946.46,35.4,6
PF00031,PR0031,20241020,A005,C011,R030,S2,P1,90.4,88.3,298700.26,300902.61,16.7,2
PF00032,PR0032,20240815,A006,C013,R013,S2,P2,57.6,46.4,331599.26,322503.73,20.1,8
PF00033,PR0033,20241117,A004,C002,R005,S4,P3,90.5,88.3,66253.96,79243.83,35.4,6
PF00034,PR0034,20240623,A001,C018,R013,S2,P2,54.4,39.1,283631.28,285416.69,22.5,5
PF00035,PR0035,20241226,A003,C009,R026,S2,P2,73.4,52.0,202344.6,362319.1,74.9,19
PF00036,PR0036,20241005,A002,C004,R007,S4,P4,60.8,46.0,201636.07,207864.43,36.6,2
PF00037,PR0037,20240826,A006,C017,R029,S2,P4,52.9,43.4,317149.51,391438.04,87.7,5
PF00038,PR0038,20241126,A002,C015,R018,S1,P3,92.6,74.7,340836.24,362267.45,13.7,8
PF00039,PR0039,20240707,A002,C002,R019,S2,P4,47.2,46.4,254072.45,288513.31,48.7,5
PF00040,PR0040,20240920,A002,C004,R010,S3,P4,40.5,33.3,181954.98,169772.49,24.7,2
PF00041,PR0041,20240414,A004,C001,R028,S4,P2,57.2,51.4,173331.25,159039.9,36.1,8
PF00042,PR0042,20241218,A004,C006,R002,S2,P2,81.6,64.5,150560.97,161877.84,47.5,4
PF00043,PR0043,20240816,A006,C002,R009,S4,P2,87.5,77.1,142519.68,162276.67,3.1,5
PF00044,PR0044,20241013,A003,C015,R013,S4,P1,99.9,71.3,152239.72,223078.23,71.5,33
