EquipmentID,EquipmentName,EquipmentType,Criticality,AreaID,Manufacturer,Model,CommissioningDate,ActiveFlag,_SourceFile,_ExportedAt,_LegacyRowNumber
EQ0001,Equipo Sintético 0001,Sensor,Alta,A006,Kuntur Labs,M-501,2018-03-24,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,1
EQ0002,Equipo Sintético 0002,Sensor,Alta,A003,InnovaPower,M-911,2021-02-11,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,2
EQ0003,Equipo Sintético 0003,Tablero,Alta,A004,Kuntur Labs,M-214,2022-07-22,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,3
EQ0004,Equipo Sintético 0004,Sensor,Baja,A003,AndesTech,M-509,2018-03-13,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,4
EQ0005,Equipo Sintético 0005,PLC,Media,A002,InnovaPower,M-732,2019-02-07,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,5
EQ0006,Equipo Sintético 0006,Tablero,Media,A006,Aster Systems,M-281,2023-06-24,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,6
EQ0007,Equipo Sintético 0007,Servidor OT,Baja,A005,InnovaPower,M-748,2023-12-06,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,7
EQ0008,Equipo Sintético 0008,PLC,Media,A004,InnovaPower,M-375,2021-01-25,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,8
EQ0009,Equipo Sintético 0009,Tablero,Media,A003,AndesTech,M-826,2020-02-18,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,9
EQ0010,Equipo Sintético 0010,PLC,Alta,A005,NovaControls,M-620,2019-06-06,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,10
EQ0011,Equipo Sintético 0011,Bomba,Alta,A004,NovaControls,M-591,2021-04-16,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,11
EQ0012,Equipo Sintético 0012,Servidor OT,Media,A003,NovaControls,M-258,2021-02-19,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,12
EQ0013,Equipo Sintético 0013,Transportador,Media,A003,Aster Systems,M-516,2019-01-24,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,13
EQ0014,Equipo Sintético 0014,Compresor,Media,A002,Aster Systems,M-870,2017-02-28,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,14
EQ0015,Equipo Sintético 0015,Servidor OT,Baja,A001,Aster Systems,M-117,2018-01-23,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,15
EQ0016,Equipo Sintético 0016,Compresor,Media,A004,NovaControls,M-781,2023-09-18,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,16
