ProjectID,ProjectName,ProjectType,ClientID,AreaID,ResponsibleID,PriorityID,PlannedStartDate,PlannedEndDate,_SourceFile,_ExportedAt,_LegacyRowNumber
PR0001,Proyecto TechEng 0001,Implementación,C017,A006,R013,P3,2024-12-19,2025-03-25,training_dim_proyecto_export.csv,2026-06-23T00:00:00,1
PR0002,Proyecto TechEng 0002,Optimización,C013,A006,R018,P3,2024-11-09,2025-04-05,training_dim_proyecto_export.csv,2026-06-23T00:00:00,2
PR0003,Proyecto TechEng 0003,Digitalización,C020,A004,R017,P2,2024-11-01,2025-04-29,training_dim_proyecto_export.csv,2026-06-23T00:00:00,3
PR0004,Proyecto TechEng 0004,Expansión,C017,A001,R021,P4,2024-06-18,2024-11-14,training_dim_proyecto_export.csv,2026-06-23T00:00:00,4
PR0005,Proyecto TechEng 0005,Implementación,C020,A001,R008,P3,2024-10-13,2025-03-31,training_dim_proyecto_export.csv,2026-06-23T00:00:00,5
PR0006,Proyecto TechEng 0006,Digitalización,C005,A002,R020,P1,2024-05-20,2024-11-07,training_dim_proyecto_export.csv,2026-06-23T00:00:00,6
PR0007,Proyecto TechEng 0007,Expansión,C006,A004,R014,P1,2024-09-08,2024-10-21,training_dim_proyecto_export.csv,2026-06-23T00:00:00,7
PR0008,Proyecto TechEng 0008,Expansión,C017,A001,R029,P4,2024-08-22,2024-10-29,training_dim_proyecto_export.csv,2026-06-23T00:00:00,8
PR0009,Proyecto TechEng 0009,Mantenimiento mayor,C005,A003,R005,P1,2024-04-01,2024-08-17,training_dim_proyecto_export.csv,2026-06-23T00:00:00,9
PR0010,Proyecto TechEng 0010,Implementación,C002,A001,R005,P2,07/04/2024,2024-08-03,training_dim_proyecto_export.csv,2026-06-23T00:00:00,10
PR0011,Proyecto TechEng 0011,Optimización,C014,A004,R014,P2,2024-01-23,2024-02-29,training_dim_proyecto_export.csv,2026-06-23T00:00:00,11
PR0012,Proyecto TechEng 0012,Expansión,C017,A001,R016,P2,2024-02-21,2024-04-05,training_dim_proyecto_export.csv,2026-06-23T00:00:00,12
PR0013,Proyecto TechEng 0013,Expansión,C020,A005,R021,P2,2024-06-07,2024-09-23,training_dim_proyecto_export.csv,2026-06-23T00:00:00,13
PR0014,Proyecto TechEng 0014,Digitalización,C019,A001,R013,P3,2024-06-23,2024-10-23,training_dim_proyecto_export.csv,2026-06-23T00:00:00,14
PR0015,Proyecto TechEng 0015,Implementación,C003,A002,R028,P1,2024-03-01,2024-04-25,training_dim_proyecto_export.csv,2026-06-23T00:00:00,15
PR0016,Proyecto TechEng 0016,Implementación,C016,A002,R015,P4,2024-06-01,2024-07-26,training_dim_proyecto_export.csv,2026-06-23T00:00:00,16
PR0017,Proyecto TechEng 0017,Mantenimiento mayor,C017,A005,R004,P4,2024-08-09,2024-09-27,training_dim_proyecto_export.csv,2026-06-23T00:00:00,17
PR0018,Proyecto TechEng 0018,Mantenimiento mayor,C014,A001,R004,P2,2024-03-26,2024-07-18,training_dim_proyecto_export.csv,2026-06-23T00:00:00,18
PR0019,Proyecto TechEng 0019,Implementación,C017,A003,R030,P2,2024-05-03,2024-06-03,training_dim_proyecto_export.csv,2026-06-23T00:00:00,19
PR0020,Proyecto TechEng 0020,Digitalización,C017,A004,R005,P3,2024-05-14,2024-09-06,training_dim_proyecto_export.csv,2026-06-23T00:00:00,20
PR0021,Proyecto TechEng 0021,Mantenimiento mayor,C009,A004,R029,P1,2024-07-03,2024-10-12,training_dim_proyecto_export.csv,2026-06-23T00:00:00,21
PR0022,Proyecto TechEng 0022,Implementación,C001,A005,R009,P2,2024-05-14,2024-08-21,training_dim_proyecto_export.csv,2026-06-23T00:00:00,22
PR0023,Proyecto TechEng 0023,Implementación,C010,A005,R003,P4,2024-09-26,2025-02-04,training_dim_proyecto_export.csv,2026-06-23T00:00:00,23
PR0024,Proyecto TechEng 0024,Mantenimiento mayor,C005,A003,R010,P4,2024-04-29,2024-08-15,training_dim_proyecto_export.csv,2026-06-23T00:00:00,24
PR0025,Proyecto TechEng 0025,Digitalización,C003,A005,R019,P3,2024-06-07,2024-10-24,training_dim_proyecto_export.csv,2026-06-23T00:00:00,25
PR0026,Proyecto TechEng 0026,Expansión,C003,A002,R013,P2,2024-05-18,2024-10-09,training_dim_proyecto_export.csv,2026-06-23T00:00:00,26
PR0027,Proyecto TechEng 0027,Mantenimiento mayor,C014,A006,R024,P3,2024-03-07,2024-08-22,training_dim_proyecto_export.csv,2026-06-23T00:00:00,27
PR0028,Proyecto TechEng 0028,Optimización,C011,A004,R019,P3,2024-09-07,2025-02-03,training_dim_proyecto_export.csv,2026-06-23T00:00:00,28
PR0029,Proyecto TechEng 0029,Expansión,C011,A005,R013,P2,2024-03-27,2024-07-12,training_dim_proyecto_export.csv,2026-06-23T00:00:00,29
PR0030,Proyecto TechEng 0030,Mantenimiento mayor,C015,A006,R020,P3,2024-04-18,2024-07-30,training_dim_proyecto_export.csv,2026-06-23T00:00:00,30
PR0031,Proyecto TechEng 0031,Optimización,C011,A005,R030,P1,2024-10-17,2024-12-21,training_dim_proyecto_export.csv,2026-06-23T00:00:00,31
PR0032,Proyecto TechEng 0032,Mantenimiento mayor,C013,A006,R013,P2,2024-12-13,2025-04-11,training_dim_proyecto_export.csv,2026-06-23T00:00:00,32
PR0033,Proyecto TechEng 0033,Implementación,C002,A004,R005,P3,2024-09-02,2024-10-22,training_dim_proyecto_export.csv,2026-06-23T00:00:00,33
PR0034,Proyecto TechEng 0034,Optimización,C018,A001,R013,P2,2024-12-01,2025-05-19,training_dim_proyecto_export.csv,2026-06-23T00:00:00,34
PR0035,Proyecto TechEng 0035,Mantenimiento mayor,C009,A003,R026,P2,2024-11-08,2025-04-13,training_dim_proyecto_export.csv,2026-06-23T00:00:00,35
PR0036,Proyecto TechEng 0036,Expansión,C004,A002,R007,P4,2024-06-25,2024-08-11,training_dim_proyecto_export.csv,2026-06-23T00:00:00,36
PR0037,Proyecto TechEng 0037,Digitalización,C017,A006,R029,P4,2024-10-08,2025-03-04,training_dim_proyecto_export.csv,2026-06-23T00:00:00,37
PR0038,Proyecto TechEng 0038,Digitalización,C015,A002,R018,P3,2024-04-30,2024-06-16,training_dim_proyecto_export.csv,2026-06-23T00:00:00,38
PR0039,Proyecto TechEng 0039,Mantenimiento mayor,C002,A002,R019,P4,17/06/2024,2024-11-02,training_dim_proyecto_export.csv,2026-06-23T00:00:00,39
PR0040,Proyecto TechEng 0040,Implementación,C004,A002,R010,P4,2024-07-14,2024-08-26,training_dim_proyecto_export.csv,2026-06-23T00:00:00,40
PR0041,Proyecto TechEng 0041,Optimización,C001,A004,R028,P2,2024-12-17,2025-03-30,training_dim_proyecto_export.csv,2026-06-23T00:00:00,41
PR0042,Proyecto TechEng 0042,Expansión,C006,A004,R002,P2,2024-11-06,2025-03-14,training_dim_proyecto_export.csv,2026-06-23T00:00:00,42
PR0043,Proyecto TechEng 0043,Implementación,C002,A006,R009,P2,2024-06-28,2024-11-14,training_dim_proyecto_export.csv,2026-06-23T00:00:00,43
PR0044,Proyecto TechEng 0044,Expansión,C015,A003,R013,P1,2024-08-26,2024-11-26,training_dim_proyecto_export.csv,2026-06-23T00:00:00,44
PR0045,Proyecto TechEng 0045,Digitalización,C011,A002,R015,P3,2024-03-15,2024-08-30,training_dim_proyecto_export.csv,2026-06-23T00:00:00,45
PR0046,Proyecto TechEng 0046,Optimización,C020,A001,R015,P2,2024-10-21,2025-03-16,training_dim_proyecto_export.csv,2026-06-23T00:00:00,46
