WorkTypeID,WorkTypeName,WorkCategory,PlannedFlag,_SourceFile,_ExportedAt,_LegacyRowNumber
WT1,Preventivo,Preventivo,True,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,1
WT2,Correctivo no planificado,Correctivo,False,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,2
WT3,Predictivo,Predictivo,True,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,3
WT4,Inspección operacional,Inspección,True,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,4
WT5,Inspección HSE,Inspección,True,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,5
WT6,Overhaul,Proyecto,True,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,6
WT7,Cambio de componentes,Correctivo,False,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,7
WT8,Lubricación,Preventivo,True,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,8
WT9,Calibración de instrumentación,Preventivo,True,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,9
WT10,Parada planta,Proyecto,True,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,10
WT11,Emergencia operacional,Emergencia,False,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,11
WT12,Soporte OT,Emergencia,False,training_dim_tipotrabajo_export.csv,2026-06-23T00:00:00,12
