LocationID,LocationName,Site,Zone,Country,_SourceFile,_ExportedAt,_LegacyRowNumber
L001,Pit Norte,Sitio Andina Norte,Mina,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,1
L002,Pit Sur,Sitio Andina Norte,Mina,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,2
L003,Frente 4100,Sitio Andina Norte,Mina,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,3
L004,Stockpile ROM,Sitio Andina Norte,Mina,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,4
L005,Chancador Primario,Sitio Pampa Central,Planta,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,5
L006,Faja CV-101,Sitio Pampa Central,Planta,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,6
L007,Transferencia CV-203,Sitio Pampa Central,Planta,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,7
L008,Molino SAG,Sitio Pampa Central,Planta,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,8
L009,Molino de Bolas,Sitio Pampa Central,Planta,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,9
L010,Celdas de Flotación,Sitio Pampa Central,Planta,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,10
L011,Relavera Principal,Sitio Sierra Azul,Relaves,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,11
L012,Sala Eléctrica Planta,Sitio Pampa Central,Energía,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,12
L013,Subestación Mina,Sitio Andina Norte,Energía,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,13
L014,Taller Camiones,Sitio Andina Norte,Mantenimiento,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,14
L015,Taller Palas,Sitio Andina Norte,Mantenimiento,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,15
L016,Centro Integrado de Operaciones,Sitio Andina Norte,Operaciones,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,16
L017,Sala de Control Planta,Sitio Pampa Central,Control,Chile,training_dim_ubicacion_export.csv,2026-06-23T00:00:00,17
