CostID,DateKey,ProjectID,AreaID,EquipmentID,CostCategory,BudgetAmount,ActualAmount,CommittedAmount,VendorType,_SourceFile,_ExportedAt,_LegacyRowNumber,UnusedERPColumn
CO000001,20240515,PR0074,A005,EQ0034,Mano de obra,4044.11,4737.26,1104.51,Proveedor local,training_fact_costos_export.csv,2026-06-23T00:00:00,1,legacy-cost-center
CO000002,20240213,PR0052,A001,EQ0039,Repuestos,3449.25,3552.88,3577.51,Proveedor internacional,training_fact_costos_export.csv,2026-06-23T00:00:00,2,legacy-cost-center
CO000003,20240731,PR0012,A001,EQ0003,Servicios,40848.43,43844.77,19040.78,Proveedor internacional,training_fact_costos_export.csv,2026-06-23T00:00:00,3,legacy-cost-center
CO000004,20241020,PR0075,A005,EQ0028,Repuestos,49515.51,51385.19,19221.7,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,4,legacy-cost-center
CO000005,20240205,PR0045,A002,EQ0006,Contratista,27604.28,17918.94,18497.66,Proveedor local,training_fact_costos_export.csv,2026-06-23T00:00:00,5,legacy-cost-center
CO000006,20240228,PR0058,A006,EQ0020,Energía,20843.7,17279.23,19752.35,Interno,training_fact_costos_export.csv,2026-06-23T00:00:00,6,legacy-cost-center
CO000007,20241118,PR0009,A003,EQ0033,Contratista,56652.35,70506.03,55822.94,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,7,legacy-cost-center
CO000008,20241112,PR0012,A001,EQ0011,Contratista,60722.45,63780.41,28817.54,Proveedor local,training_fact_costos_export.csv,2026-06-23T00:00:00,8,legacy-cost-center
CO000009,20240805,PR0067,A002,EQ0015,Contratista,27460.4,23135.69,23834.06,Proveedor internacional,training_fact_costos_export.csv,2026-06-23T00:00:00,9,legacy-cost-center
CO000010,20240616,PR0074,A005,EQ0020,Contratista,52625.3,44077.76,35303.99,Proveedor internacional,training_fact_costos_export.csv,2026-06-23T00:00:00,10,legacy-cost-center
CO000011,20240102,PR0010,A001,EQ0019,Contratista,60992.23,57944.58,44876.72,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,11,legacy-cost-center
CO000012,20241129,PR0044,A003,EQ0001,Materiales,27259.27,34157.25,16246.9,Interno,training_fact_costos_export.csv,2026-06-23T00:00:00,12,legacy-cost-center
CO000013,20240723,PR0030,A006,EQ0015,Energía,12090.85,7926.05,4346.95,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,13,legacy-cost-center
CO000014,20240130,PR0068,A005,EQ0034,Repuestos,26420.88,15211.87,24793.08,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,14,legacy-cost-center
CO000015,20240512,PR0005,A001,EQ0004,Materiales,5292.46,23159.35,3650.23,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,15,legacy-cost-center
CO000016,20241101,PR0001,A006,EQ0014,Energía,3454.37,2608.53,1940.21,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,16,legacy-cost-center
CO000017,20241127,PR0006,A002,EQ0025,Contratista,57917.79,54161.73,46785.94,Interno,training_fact_costos_export.csv,2026-06-23T00:00:00,17,legacy-cost-center
CO000018,20240821,PR0057,A003,EQ0016,Repuestos,59840.88,90119.92,34892.22,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,18,legacy-cost-center
CO000019,20240220,PR0016,A002,EQ0028,Mano de obra,45665.28,43454.59,44030.39,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,19,legacy-cost-center
CO000020,20240228,PR0063,A005,EQ0011,Servicios,60113.33,58804.05,19364.0,Contratista,training_fact_costos_export.csv,2026-06-23T00:00:00,20,legacy-cost-center
