EnergyID,DateKey,AreaID,EquipmentID,LocationID,kWh,EnergyCost,OperatingHours,OutputUnits,Shift,_SourceFile,_ExportedAt,_LegacyRowNumber
EN0000001,20240113,A010,EQ0052,L002,5979.41,893.42,16.66,2215,Día,training_fact_energia_export.csv,2026-06-23T00:00:00,1
EN0000002,20240902,A004,EQ0036,L008,5819.01,926.12,11.64,422,Día,training_fact_energia_export.csv,2026-06-23T00:00:00,2
EN0000003,20240308,A010,EQ0023,L002,3063.59,277.51,18.02,720,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,3
EN0000004,20240810,A004,EQ0009,L008,12106.68,2102.92,23.62,2183,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,4
EN0000005,20240119,A005,EQ0021,L008,3979.72,492.71,9.97,2525,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,5
EN0000006,20240329,A006,EQ0051,L015,3240.17,405.3,6.71,3949,Noche,training_fact_energia_export.csv,2026-06-23T00:00:00,6
EN0000007,20241121,A017,EQ0013,L009,4947.44,845.39,14.76,1258,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,7
EN0000008,20240806,A004,EQ0009,L008,2574.78,450.09,7.08,397,Noche,training_fact_energia_export.csv,2026-06-23T00:00:00,8
EN0000009,20240723,A004,EQ0053,L008,9735.87,1168.4,23.5,1494,Día,training_fact_energia_export.csv,2026-06-23T00:00:00,9
EN0000010,20240714,A012,EQ0044,L017,5435.56,647.34,19.05,3778,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,10
EN0000011,20240601,A004,EQ0035,L008,6135.28,652.51,14.23,743,Noche,training_fact_energia_export.csv,2026-06-23T00:00:00,11
EN0000012,20240109,A006,EQ0051,L015,6582.69,1051.45,17.57,463,Día,training_fact_energia_export.csv,2026-06-23T00:00:00,12
EN0000013,20240507,A004,EQ0035,L008,4190.45,407.71,10.69,2084,Noche,training_fact_energia_export.csv,2026-06-23T00:00:00,13
EN0000014,20241214,A017,EQ0016,L009,6071.42,1034.65,18.34,2243,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,14
EN0000015,20241118,A004,EQ0015,L008,2294.43,318.36,10.82,2832,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,15
EN0000016,20241014,A010,EQ0023,L002,9640.35,1433.56,20.16,4085,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,16
EN0000017,20240508,A004,EQ0022,L008,2865.38,474.79,5.74,2445,Tarde,training_fact_energia_export.csv,2026-06-23T00:00:00,17
