IncidentID,DateKey,AreaID,EquipmentID,LocationID,Severity,IncidentType,CorrectiveActionStatus,DaysOpen,LostTimeFlag,RiskCategory,_SourceFile,_ExportedAt,_LegacyRowNumber
IN00001,20240228,A005,EQ0032,L004,Baja,Casi accidente,Abierta,87,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,1
IN00002,20240306,A004,EQ0008,L006,Baja,Ambiental,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,2
IN00003,20240409,A001,EQ0040,L006,Media,Condición insegura,Cerrada,0,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,3
IN00004,20240709,A006,EQ0001,L001,Baja,Daño equipo,Cerrada,0,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,4
IN00005,20240508,A004,EQ0022,L006,Baja,Lesión menor,Abierta,48,False,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,5
IN00006,20240306,A001,EQ0023,L006,Media,Daño equipo,Cerrada,0,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,6
IN00007,20240730,A005,EQ0032,L004,Baja,Daño equipo,Cerrada,0,False,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,7
IN00008,20240216,A003,EQ0013,L006,Media,Daño equipo,Cerrada,0,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,8
IN00009,20240812,A003,EQ0029,L006,Media,Ambiental,En progreso,28,True,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,9
IN00010,20240102,A004,EQ0003,L006,Media,Casi accidente,Abierta,57,True,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,10
IN00011,20240530,A001,EQ0018,L006,Media,Lesión menor,Cerrada,0,True,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,11
IN00012,20240131,A004,EQ0016,L006,Media,Lesión menor,Cerrada,0,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,12
IN00013,20240411,A004,EQ0039,L006,Media,Casi accidente,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,13
IN00014,20240712,A001,EQ0040,L006,Baja,Ambiental,Abierta,83,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,14
IN00015,20240204,A003,EQ0036,L006,Baja,Casi accidente,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,15
IN00016,20240711,A005,EQ0025,L004,Baja,Casi accidente,Abierta,79,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,16
IN00017,20240421,A003,EQ0002,L006,Baja,Ambiental,Cerrada,0,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,17
IN00018,20240403,A003,EQ0029,L006,Baja,Condición insegura,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,18
IN00019,20240502,A003,EQ0009,L006,Baja,Lesión menor,Cerrada,0,False,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,19
IN00020,20241207,A002,EQ0034,L006,Baja,Ambiental,En progreso,37,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,20
IN00021,20240904,A004,EQ0016,L006,Alta,Casi accidente,Cerrada,0,True,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,21
IN00022,20240610,A006,EQ0028,L001,Media,Lesión menor,Cerrada,0,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,22
IN00023,20240315,A001,EQ0023,L006,Media,Daño equipo,Cerrada,0,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,23
IN00024,20241022,A001,EQ0018,L006,Baja,Casi accidente,Abierta,26,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,24
IN00025,20240719,A003,EQ0026,L006,Baja,Daño equipo,Cerrada,0,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,25
IN00026,20240705,A003,EQ0035,L006,Media,Casi accidente,Cerrada,0,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,26
IN00027,20241114,A006,EQ0030,L001,Media,Daño equipo,Abierta,55,False,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,27
IN00028,20240330,A003,EQ0013,L006,Baja,Daño equipo,Abierta,4,True,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,28
IN00029,20241212,A004,EQ0008,L006,Baja,Lesión menor,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,29
IN00030,20240228,A004,EQ0011,L006,Media,Daño equipo,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,30
IN00031,20240911,A002,EQ0021,L006,Media,Condición insegura,En progreso,38,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,31
IN00032,20240305,A004,EQ0011,L006,Media,Casi accidente,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,32
IN00033,20240124,A005,EQ0032,L004,Baja,Casi accidente,Cerrada,0,False,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,33
IN00034,20240904,A002,EQ0014,L006,Baja,Lesión menor,En progreso,68,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,34
IN00035,20240827,A004,EQ0008,L006,Alta,Daño equipo,Cerrada,0,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,35
IN00036,20241001,A005,EQ0032,L004,Media,Lesión menor,En progreso,49,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,36
IN00037,20240104,A006,EQ0030,L001,Baja,Daño equipo,En progreso,62,True,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,37
IN00038,20240302,A002,EQ0005,L006,Baja,Ambiental,Cerrada,0,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,38
IN00039,20240520,A002,EQ0021,L006,Media,Casi accidente,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,39
IN00040,20241227,A002,EQ0021,L006,Baja,Ambiental,Cerrada,0,False,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,40
IN00041,20241208,A004,EQ0016,L006,Media,Lesión menor,Abierta,50,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,41
IN00042,20241130,A005,EQ0025,L004,Baja,Condición insegura,Cerrada,0,False,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,42
IN00043,20240919,A002,EQ0021,L006,Baja,Ambiental,En progreso,79,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,43
IN00044,20240329,A001,EQ0038,L006,Media,Ambiental,En progreso,58,False,Ambiente,training_fact_incidentes_export.csv,2026-06-23T00:00:00,44
IN00045,20241006,A006,EQ0006,L001,Media,Condición insegura,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,45
IN00046,20240424,A004,EQ0016,L006,Media,Lesión menor,Abierta,23,False,Seguridad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,46
IN00047,20240513,A006,EQ0017,L001,Alta,Ambiental,Cerrada,0,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,47
IN00048,20241221,A005,EQ0020,L004,Baja,Lesión menor,Abierta,79,False,Calidad,training_fact_incidentes_export.csv,2026-06-23T00:00:00,48
IN00049,20240410,A006,EQ0030,L001,Baja,Daño equipo,En progreso,40,True,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,49
IN00050,20241231,A006,EQ0028,L001,Media,Daño equipo,Cerrada,0,False,Operación,training_fact_incidentes_export.csv,2026-06-23T00:00:00,50
