MaintenanceID,DateKey,EquipmentID,AreaID,WorkTypeID,PriorityID,FailureMode,SystemCategory,DowntimeHours,RepairHours,MaintenanceCost,PlannedFlag,_SourceFile,_ExportedAt,_LegacyRowNumber,EquipmentName_Source
MT000001,20240208,EQ0026,A004,WT2,P4,Falla de pala,Control,4.39,2.72,6028.83,False,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,1,Pala eléctrica Sintético 0026
MT000002,20241014,EQ0058,A005,WT2,P2,Desgaste de neumáticos,Seguridad,13.26,11.22,15173.82,False,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,2,Alimentador Sintético 0058
MT000003,20240630,EQ0001,A017,WT2,P1,Pérdida de comunicación PLC,Control,4.63,1.97,10102.88,False,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,3,PLC Sintético 0001
MT000004,20240412,EQ0046,A004,WT2,P3,Falla de pala,Mecánico,7.66,5.56,14078.16,False,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,4,Perforadora Sintético 0046
MT000005,20240415,EQ0054,A005,WT1,P2,Falla eléctrica,Chancado,9.66,5.94,21350.83,True,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,5,Chancador primario Sintético 0054
MT000006,20240305,EQ0054,A005,WT2,P4,Falla eléctrica,Chancado,19.56,17.19,22422.42,False,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,6,Chancador primario Sintético 0054
MT000007,20241109,EQ0021,A005,WT2,P2,Falla de pala,Energía,6.16,4.51,4721.87,False,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,7,Alimentador Sintético 0021
MT000008,20240817,EQ0018,A009,WT2,P3,Falla eléctrica,Mecánico,8.17,4.37,16906.64,False,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,8,Celda de flotación Sintético 0018
MT000009,20240906,EQ0016,A017,WT1,P1,Pérdida de comunicación PLC,Control,0.34,0.28,438.68,True,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,9,Switch industrial Sintético 0016
MT000010,20241117,EQ0052,A010,WT2,P2,Corte de correa,Seguridad,3.09,1.87,4840.84,False,training_fact_mantenimiento_export.csv,2026-06-23T00:00:00,10,Sistema de relaves Sintético 0052
