WorkOrderID,CreatedDateKey,ClosedDateKey,AreaID,EquipmentID,ServiceID,ResponsibleID,WorkTypeID,PriorityID,StatusID,EstimatedHours,ActualHours,IsCritical,ReworkFlag,SourceSystem,_SourceFile,_ExportedAt,_LegacyRowNumber
WO000001,20241229,20241231,A002,EQ0014,SV4,R010,WT1,P3,S4,59.76,81.05,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,1
WO000002,20240929,20241001,A003,EQ0026,SV2,R019,WT1,P2,S4,14.67,14.69,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,2
WO000003,20240806,20240809,A003,EQ0029,SV1,R023,WT2,P3,S4,40.74,17.4,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,3
WO000004,20240213,20240214,A003,EQ0035,SV4,R005,WT2,P1,S4,5.32,5.73,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,4
WO000005,20240521,,A006,EQ0017,SV5,R002,WT2,P3,S2,27.52,22.57,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,5
WO000006,20240622,,A001,EQ0038,SV7,R005,WT2,P3,S2,50.69,113.35,False,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,6
WO000007,20241012,,A003,EQ0013,SV6,R028,WT3,P3,S1,62.63,81.03,False,True,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,7
WO000008,20240803,20240809,A003,EQ0009,SV7,R008,WT6,P3,S4,51.96,41.11,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,8
WO000009,20240609,20240613,A004,EQ0016,SV7,R016,WT1,P3,S4,43.6,27.47,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,9
WO000010,20240223,,A004,EQ0022,SV4,R017,WT2,P2,S1,21.08,40.31,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,10
WO000011,20240918,20240922,A001,EQ0027,SV3,R009,WT1,P2,S4,17.49,25.89,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,11
WO000012,20240607,20240611,A002,EQ0034,SV5,R026,WT1,P3,S4,27.46,27.71,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,12
WO000013,20240114,20240116,A003,EQ0009,SV4,R002,WT6,P1,S4,5.75,8.19,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,13
WO000014,20240413,,A003,EQ0013,SV3,R016,WT1,P2,S1,9.19,8.77,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,14
WO000015,20241117,,A001,EQ0038,SV1,R013,WT1,P3,S1,37.37,64.65,False,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,15
WO000016,20240213,20240215,A001,EQ0018,SV4,R024,WT2,P1,S4,5.51,9.24,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,16
