ProductivityID,DateKey,AreaID,ResponsibleID,LocationID,Shift,PlannedOutput,ActualOutput,LaborHours,ProductiveHours,NonProductiveHours,_SourceFile,_ExportedAt,_LegacyRowNumber
PD000001,20241109,A001,R029,L007,Noche,456,316,10.7,8.82,1.88,training_fact_productividad_export.csv,2026-06-23T00:00:00,1
PD000002,20241219,A002,R016,L004,Noche,340,281,9.84,6.82,3.02,training_fact_productividad_export.csv,2026-06-23T00:00:00,2
PD000003,20240320,A001,R019,L004,Noche,314,219,6.64,4.09,2.54,training_fact_productividad_export.csv,2026-06-23T00:00:00,3
PD000004,20240401,A003,R022,L004,Día,568,466,11.03,7.59,3.44,training_fact_productividad_export.csv,2026-06-23T00:00:00,4
PD000005,20240515,A001,R019,L005,Tarde,848,698,9.16,8.17,0.99,training_fact_productividad_export.csv,2026-06-23T00:00:00,5
PD000006,20241204,A005,R019,L006,Tarde,543,483,8.78,7.39,1.39,training_fact_productividad_export.csv,2026-06-23T00:00:00,6
PD000007,20240825,A003,R012,L002,Tarde,623,501,7.94,5.46,2.48,training_fact_productividad_export.csv,2026-06-23T00:00:00,7
PD000008,20241130,A001,R011,L003,Noche,609,576,10.69,8.55,2.14,training_fact_productividad_export.csv,2026-06-23T00:00:00,8
PD000009,20240228,A001,R012,L006,Tarde,181,142,10.65,8.37,2.28,training_fact_productividad_export.csv,2026-06-23T00:00:00,9
PD000010,20241207,A002,R016,L005,Día,218,223,10.47,8.99,1.49,training_fact_productividad_export.csv,2026-06-23T00:00:00,10
PD000011,20241117,A001,R028,L004,Noche,825,601,7.13,5.52,1.6,training_fact_productividad_export.csv,2026-06-23T00:00:00,11
PD000012,20240220,A006,R005,L003,Tarde,479,466,7.47,5.53,1.94,training_fact_productividad_export.csv,2026-06-23T00:00:00,12
PD000013,20240127,A003,R003,L004,Tarde,898,922,9.74,6.92,2.82,training_fact_productividad_export.csv,2026-06-23T00:00:00,13
PD000014,20241221,A006,R005,L002,Noche,222,231,8.33,6.22,2.11,training_fact_productividad_export.csv,2026-06-23T00:00:00,14
PD000015,20240128,A006,R026,L007,Día,225,190,6.08,4.36,1.72,training_fact_productividad_export.csv,2026-06-23T00:00:00,15
PD000016,20240409,A005,R025,L005,Noche,114,106,6.37,5.57,0.8,training_fact_productividad_export.csv,2026-06-23T00:00:00,16
PD000017,20241120,A003,R012,L001,Día,198,187,8.02,5.96,2.06,training_fact_productividad_export.csv,2026-06-23T00:00:00,17
PD000018,20240128,A006,R014,L007,Noche,650,587,7.54,6.15,1.39,training_fact_productividad_export.csv,2026-06-23T00:00:00,18
PD000019,20241021,A003,R019,L002,Noche,811,892,6.69,5.71,0.97,training_fact_productividad_export.csv,2026-06-23T00:00:00,19
PD000020,20240705,A005,R027,L002,Tarde,225,245,11.98,8.65,3.33,training_fact_productividad_export.csv,2026-06-23T00:00:00,20
PD000021,20240520,A004,R025,L001,Tarde,632,412,6.42,5.21,1.21,training_fact_productividad_export.csv,2026-06-23T00:00:00,21
PD000022,20240113,A005,R021,L004,Noche,661,679,9.29,6.94,2.35,training_fact_productividad_export.csv,2026-06-23T00:00:00,22
PD000023,20240617,A003,R019,L001,Noche,458,458,8.44,7.0,1.44,training_fact_productividad_export.csv,2026-06-23T00:00:00,23
PD000024,20240122,A005,R009,L002,Noche,79,80,11.42,8.35,3.08,training_fact_productividad_export.csv,2026-06-23T00:00:00,24
PD000025,20240422,A005,R027,L001,Noche,856,851,10.16,7.87,2.29,training_fact_productividad_export.csv,2026-06-23T00:00:00,25
PD000026,20240925,A002,R013,L003,Noche,509,453,6.7,5.48,1.22,training_fact_productividad_export.csv,2026-06-23T00:00:00,26
PD000027,20241124,A003,R011,L003,Noche,208,236,11.21,10.07,1.14,training_fact_productividad_export.csv,2026-06-23T00:00:00,27
PD000028,20240321,A006,R027,L001,Día,505,312,8.25,6.12,2.13,training_fact_productividad_export.csv,2026-06-23T00:00:00,28
PD000029,20241220,A001,R004,L004,Día,419,238,6.27,4.41,1.85,training_fact_productividad_export.csv,2026-06-23T00:00:00,29
PD000030,20241125,A002,R026,L007,Día,443,352,9.23,6.91,2.33,training_fact_productividad_export.csv,2026-06-23T00:00:00,30
PD000031,20240316,A005,R023,L005,Noche,739,721,8.21,5.59,2.63,training_fact_productividad_export.csv,2026-06-23T00:00:00,31
PD000032,20241020,A006,R013,L003,Tarde,612,517,7.94,6.8,1.14,training_fact_productividad_export.csv,2026-06-23T00:00:00,32
PD000033,20240713,A005,R013,L003,Tarde,268,254,10.31,7.38,2.93,training_fact_productividad_export.csv,2026-06-23T00:00:00,33
PD000034,20240622,A005,R026,L007,Día,332,281,7.88,6.04,1.83,training_fact_productividad_export.csv,2026-06-23T00:00:00,34
PD000035,20241202,A004,R021,L001,Día,131,107,8.93,6.77,2.16,training_fact_productividad_export.csv,2026-06-23T00:00:00,35
PD000036,20241125,A001,R024,L004,Noche,707,632,10.88,8.02,2.87,training_fact_productividad_export.csv,2026-06-23T00:00:00,36
PD000037,20241001,A002,R027,L004,Noche,321,321,9.34,6.98,2.36,training_fact_productividad_export.csv,2026-06-23T00:00:00,37
PD000038,20241225,A005,R013,L005,Noche,871,1049,10.78,8.81,1.97,training_fact_productividad_export.csv,2026-06-23T00:00:00,38
PD000039,20240623,A005,R003,L006,Día,749,728,10.62,8.26,2.37,training_fact_productividad_export.csv,2026-06-23T00:00:00,39
PD000040,20240702,A004,R024,L001,Día,531,470,9.76,8.4,1.36,training_fact_productividad_export.csv,2026-06-23T00:00:00,40
PD000041,20240730,A001,R007,L006,Día,190,136,9.98,7.71,2.27,training_fact_productividad_export.csv,2026-06-23T00:00:00,41
PD000042,20240108,A003,R004,L005,Día,881,614,11.81,9.19,2.63,training_fact_productividad_export.csv,2026-06-23T00:00:00,42
PD000043,20241101,A005,R022,L002,Tarde,673,680,11.91,9.76,2.15,training_fact_productividad_export.csv,2026-06-23T00:00:00,43
PD000044,20240306,A005,R010,L006,Día,543,521,11.31,8.78,2.53,training_fact_productividad_export.csv,2026-06-23T00:00:00,44
PD000045,20241104,A001,R013,L001,Noche,568,414,11.93,10.25,1.68,training_fact_productividad_export.csv,2026-06-23T00:00:00,45
PD000046,20240301,A004,R020,L003,Tarde,631,598,8.31,6.56,1.75,training_fact_productividad_export.csv,2026-06-23T00:00:00,46
PD000047,20240106,A005,R024,L003,Noche,503,414,7.16,5.69,1.47,training_fact_productividad_export.csv,2026-06-23T00:00:00,47
PD000048,20240102,A006,R019,L001,Día,320,214,7.75,6.23,1.52,training_fact_productividad_export.csv,2026-06-23T00:00:00,48
PD000049,20240214,A003,R024,L002,Tarde,523,478,6.5,5.0,1.49,training_fact_productividad_export.csv,2026-06-23T00:00:00,49
PD000050,20240423,A004,R018,L006,Día,811,730,8.56,6.2,2.36,training_fact_productividad_export.csv,2026-06-23T00:00:00,50
PD000051,20240909,A004,R020,L003,Noche,332,321,6.54,4.33,2.21,training_fact_productividad_export.csv,2026-06-23T00:00:00,51
PD000052,20240723,A003,R015,L001,Tarde,113,108,9.83,8.09,1.73,training_fact_productividad_export.csv,2026-06-23T00:00:00,52
PD000053,20240914,A002,R008,L005,Tarde,384,365,7.19,4.83,2.35,training_fact_productividad_export.csv,2026-06-23T00:00:00,53
PD000054,20240802,A001,R001,L003,Día,303,195,11.94,6.61,5.33,training_fact_productividad_export.csv,2026-06-23T00:00:00,54
PD000055,20240427,A003,R008,L001,Tarde,249,294,10.44,9.53,0.91,training_fact_productividad_export.csv,2026-06-23T00:00:00,55
PD000056,20240619,A003,R021,L003,Día,85,92,8.21,5.78,2.43,training_fact_productividad_export.csv,2026-06-23T00:00:00,56
