SLAID,WorkOrderID,ClientID,ServiceID,AreaID,PriorityID,CreatedDateKey,CommittedDateKey,ResolvedDateKey,TargetHours,ActualHours,SLAMetFlag,BreachHours,_SourceFile,_ExportedAt,_LegacyRowNumber
SLA000001,WO003289,C006,SV8,A005,P1,20240518,20240518,20240519,8,8.96,False,0.96,training_fact_sla_export.csv,2026-06-23T00:00:00,1
SLA000002,WO004360,C007,SV8,A003,P3,20240708,20240711,20240712,72,85.51,False,13.51,training_fact_sla_export.csv,2026-06-23T00:00:00,2
SLA000003,WO001783,C001,SV1,A006,P3,20240802,20240805,20240804,72,37.23,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,3
SLA000004,WO003140,C019,SV2,A005,P1,20240401,20240401,20240402,8,2.41,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,4
SLA000005,WO000717,C007,SV2,A006,P2,20240930,20241001,20241001,24,11.28,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,5
SLA000006,WO003788,C018,SV3,A003,P3,20240210,20240213,20240213,72,67.75,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,6
SLA000007,WO002524,C016,SV1,A004,P3,20240810,20240813,20240815,72,103.94,False,31.94,training_fact_sla_export.csv,2026-06-23T00:00:00,7
SLA000008,WO002566,C015,SV1,A006,P4,20240731,20240805,20240804,120,77.65,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,8
SLA000009,WO002226,C008,SV6,A001,P3,20240317,20240320,20240319,72,46.76,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,9
SLA000010,WO003271,C013,SV8,A006,P3,20240510,20240513,20240513,72,69.09,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,10
SLA000011,WO004912,C008,SV7,A004,P1,20241220,20241220,20241221,8,7.24,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,11
SLA000012,WO004554,C015,SV7,A004,P3,20240109,20240112,20240112,72,65.83,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,12
SLA000013,WO000426,C017,SV4,A001,P2,20241027,20241028,20241028,24,18.65,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,13
SLA000014,WO004881,C015,SV1,A006,P2,20240108,20240109,20240109,24,11.08,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,14
SLA000015,WO002126,C009,SV8,A006,P2,20241213,20241214,20241214,24,11.1,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,15
SLA000016,WO003422,C017,SV2,A003,P2,20241023,20241024,20241024,24,6.11,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,16
SLA000017,WO003553,C001,SV4,A003,P3,20240910,20240913,20240913,72,69.06,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,17
SLA000018,WO003723,C015,SV4,A005,P3,20240826,20240829,20240828,72,39.4,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,18
SLA000019,WO003153,C017,SV6,A003,P3,20240324,20240327,20240326,72,30.87,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,19
SLA000020,WO001583,C014,SV7,A003,P3,20240509,20240512,20240511,72,30.37,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,20
SLA000021,WO000695,C010,SV7,A005,P4,20240618,20240623,20240620,120,46.41,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,21
SLA000022,WO003882,C019,SV3,A006,P3,20240921,20240924,20240925,72,86.83,False,14.83,training_fact_sla_export.csv,2026-06-23T00:00:00,22
SLA000023,WO004687,C001,SV3,A006,P2,20240607,20240608,20240608,24,14.05,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,23
SLA000024,WO004994,C019,SV8,A005,P3,20240320,20240323,20240323,72,53.75,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,24
SLA000025,WO001569,C006,SV3,A006,P4,20240801,20240806,20240803,120,46.83,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,25
SLA000026,WO001088,C009,SV8,A003,P3,20240214,20240217,20240217,72,68.78,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,26
SLA000027,WO001264,C006,SV5,A002,P3,20240322,20240325,20240325,72,71.51,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,27
SLA000028,WO002053,C020,SV5,A004,P3,20240318,20240321,20240320,72,40.03,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,28
SLA000029,WO003917,C008,SV2,A002,P3,20240926,20240929,20240928,72,43.39,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,29
SLA000030,WO002706,C008,SV4,A001,P3,20241029,20241101,20241101,72,55.43,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,30
SLA000031,WO003744,C013,SV2,A004,P4,20240128,20240202,20240202,120,110.06,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,31
SLA000032,WO002200,C005,SV7,A005,P3,20240927,20240930,20241003,72,133.83,False,61.83,training_fact_sla_export.csv,2026-06-23T00:00:00,32
SLA000033,WO001095,C007,SV4,A003,P1,20240321,20240321,20240322,8,8.71,False,0.71,training_fact_sla_export.csv,2026-06-23T00:00:00,33
SLA000034,WO001198,C005,SV7,A003,P2,20240627,20240628,20240628,24,8.19,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,34
SLA000035,WO004556,C015,SV8,A004,P4,20241026,20241031,20241104,120,208.26,False,88.26,training_fact_sla_export.csv,2026-06-23T00:00:00,35
SLA000036,WO001325,C003,SV5,A004,P3,20241015,20241018,20241021,72,122.92,False,50.92,training_fact_sla_export.csv,2026-06-23T00:00:00,36
SLA000037,WO004023,C014,SV5,A003,P3,20240823,20240826,20240826,72,48.27,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,37
SLA000038,WO004732,C008,SV1,A004,P2,20240730,20240731,20240801,24,34.03,False,10.03,training_fact_sla_export.csv,2026-06-23T00:00:00,38
SLA000039,WO003079,C003,SV5,A005,P3,20241013,20241016,20241015,72,34.74,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,39
SLA000040,WO003152,C020,SV7,A005,P1,20241101,20241101,20241102,8,5.17,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,40
SLA000041,WO002434,C007,SV4,A003,P4,20240912,20240917,20240917,120,105.25,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,41
SLA000042,WO000391,C007,SV2,A003,P3,20240514,20240517,20240516,72,31.14,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,42
SLA000043,WO001523,C002,SV7,A006,P4,20240801,20240806,20240806,120,100.17,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,43
SLA000044,WO002156,C019,SV6,A003,P3,20241024,20241027,20241026,72,35.1,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,44
SLA000045,WO004935,C019,SV5,A003,P2,20240801,20240802,20240802,24,12.0,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,45
SLA000046,WO004639,C003,SV2,A002,P3,20240115,20240118,20240119,72,83.84,False,11.84,training_fact_sla_export.csv,2026-06-23T00:00:00,46
SLA000047,WO003435,C006,SV5,A003,P3,20240304,20240307,20240307,72,50.31,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,47
SLA000048,WO004956,C003,SV7,A002,P3,20241228,20241231,20241231,72,74.81,False,2.81,training_fact_sla_export.csv,2026-06-23T00:00:00,48
SLA000049,WO004757,C015,SV1,A006,P3,20240421,20240424,20240424,72,57.28,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,49
SLA000050,WO003143,C004,SV1,A005,P2,20240324,20240325,20240325,24,22.05,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,50
SLA000051,WO003806,C008,SV2,A002,P1,20240128,20240128,20240129,8,5.83,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,51
SLA000052,WO004581,C011,SV4,A003,P2,20240416,20240417,20240417,24,17.52,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,52
SLA000053,WO001430,C020,SV4,A002,P1,20240508,20240508,20240509,8,2.41,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,53
SLA000054,WO002605,C020,SV4,A005,P3,20241213,20241216,20241215,72,40.32,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,54
SLA000055,WO000731,C009,SV8,A002,P3,20241010,20241013,20241013,72,71.48,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,55
SLA000056,WO001976,C005,SV5,A001,P3,20241002,20241005,20241005,72,58.25,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,56
SLA000057,WO003590,C012,SV4,A003,P2,20240102,20240103,20240103,24,13.68,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,57
SLA000058,WO000136,C007,SV6,A005,P3,20241126,20241129,20241128,72,41.19,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,58
SLA000059,WO004042,C009,SV6,A004,P1,20240304,20240304,20240305,8,4.23,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,59
SLA000060,WO001161,C018,SV6,A002,P2,20241207,20241208,20241209,24,29.23,False,5.23,training_fact_sla_export.csv,2026-06-23T00:00:00,60
SLA000061,WO001797,C009,SV8,A005,P2,20240526,20240527,20240528,24,46.56,False,22.56,training_fact_sla_export.csv,2026-06-23T00:00:00,61
SLA000062,WO000510,C011,SV4,A002,P4,20240612,20240617,20240614,120,46.4,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,62
SLA000063,WO003533,C012,SV6,A003,P1,20240207,20240207,20240208,8,4.67,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,63
SLA000064,WO000186,C007,SV4,A001,P2,20240224,20240225,20240225,24,8.57,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,64
SLA000065,WO001635,C018,SV5,A005,P3,20240720,20240723,20240724,72,84.02,False,12.02,training_fact_sla_export.csv,2026-06-23T00:00:00,65
SLA000066,WO004052,C009,SV6,A004,P4,20240314,20240319,20240319,120,115.5,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,66
SLA000067,WO004654,C012,SV7,A003,P3,20240614,20240617,20240617,72,63.69,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,67
SLA000068,WO000181,C015,SV2,A004,P4,20240430,20240505,20240503,120,65.42,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,68
SLA000069,WO003733,C017,SV8,A004,P2,20240617,20240618,20240619,24,30.05,False,6.05,training_fact_sla_export.csv,2026-06-23T00:00:00,69
SLA000070,WO002084,C008,SV8,A003,P3,20240923,20240926,20240929,72,130.09,False,58.09,training_fact_sla_export.csv,2026-06-23T00:00:00,70
SLA000071,WO004829,C001,SV5,A003,P2,20240314,20240315,20240316,24,28.24,False,4.24,training_fact_sla_export.csv,2026-06-23T00:00:00,71
