DateKey,Date,Year,Quarter,MonthNumber,MonthName,WeekNumber,DayOfWeek,IsWeekend
20240101,2024-01-01,2024,Q1,1,Enero,1,Lunes,False
20240102,2024-01-02,2024,Q1,1,Enero,1,Martes,False
20240103,2024-01-03,2024,Q1,1,Enero,1,Miércoles,False
20240104,2024-01-04,2024,Q1,1,Enero,1,Jueves,False
20240105,2024-01-05,2024,Q1,1,Enero,1,Viernes,False
20240106,2024-01-06,2024,Q1,1,Enero,1,Sábado,True
20240107,2024-01-07,2024,Q1,1,Enero,1,Domingo,True
20240108,2024-01-08,2024,Q1,1,Enero,2,Lunes,False
20240109,2024-01-09,2024,Q1,1,Enero,2,Martes,False
20240110,2024-01-10,2024,Q1,1,Enero,2,Miércoles,False
20240111,2024-01-11,2024,Q1,1,Enero,2,Jueves,False
20240112,2024-01-12,2024,Q1,1,Enero,2,Viernes,False
20240113,2024-01-13,2024,Q1,1,Enero,2,Sábado,True
20240114,2024-01-14,2024,Q1,1,Enero,2,Domingo,True
20240115,2024-01-15,2024,Q1,1,Enero,3,Lunes,False
20240116,2024-01-16,2024,Q1,1,Enero,3,Martes,False
20240117,2024-01-17,2024,Q1,1,Enero,3,Miércoles,False
20240118,2024-01-18,2024,Q1,1,Enero,3,Jueves,False
20240119,2024-01-19,2024,Q1,1,Enero,3,Viernes,False
20240120,2024-01-20,2024,Q1,1,Enero,3,Sábado,True
20240121,2024-01-21,2024,Q1,1,Enero,3,Domingo,True
20240122,2024-01-22,2024,Q1,1,Enero,4,Lunes,False
20240123,2024-01-23,2024,Q1,1,Enero,4,Martes,False
20240124,2024-01-24,2024,Q1,1,Enero,4,Miércoles,False
20240125,2024-01-25,2024,Q1,1,Enero,4,Jueves,False
20240126,2024-01-26,2024,Q1,1,Enero,4,Viernes,False
20240127,2024-01-27,2024,Q1,1,Enero,4,Sábado,True
20240128,2024-01-28,2024,Q1,1,Enero,4,Domingo,True
20240129,2024-01-29,2024,Q1,1,Enero,5,Lunes,False
20240130,2024-01-30,2024,Q1,1,Enero,5,Martes,False
20240131,2024-01-31,2024,Q1,1,Enero,5,Miércoles,False
20240201,2024-02-01,2024,Q1,2,Febrero,5,Jueves,False
20240202,2024-02-02,2024,Q1,2,Febrero,5,Viernes,False
20240203,2024-02-03,2024,Q1,2,Febrero,5,Sábado,True
20240204,2024-02-04,2024,Q1,2,Febrero,5,Domingo,True
20240205,2024-02-05,2024,Q1,2,Febrero,6,Lunes,False
20240206,2024-02-06,2024,Q1,2,Febrero,6,Martes,False
20240207,2024-02-07,2024,Q1,2,Febrero,6,Miércoles,False
20240208,2024-02-08,2024,Q1,2,Febrero,6,Jueves,False
20240209,2024-02-09,2024,Q1,2,Febrero,6,Viernes,False
20240210,2024-02-10,2024,Q1,2,Febrero,6,Sábado,True
20240211,2024-02-11,2024,Q1,2,Febrero,6,Domingo,True
20240212,2024-02-12,2024,Q1,2,Febrero,7,Lunes,False
20240213,2024-02-13,2024,Q1,2,Febrero,7,Martes,False
20240214,2024-02-14,2024,Q1,2,Febrero,7,Miércoles,False
20240215,2024-02-15,2024,Q1,2,Febrero,7,Jueves,False
20240216,2024-02-16,2024,Q1,2,Febrero,7,Viernes,False
20240217,2024-02-17,2024,Q1,2,Febrero,7,Sábado,True
20240218,2024-02-18,2024,Q1,2,Febrero,7,Domingo,True
20240219,2024-02-19,2024,Q1,2,Febrero,8,Lunes,False
20240220,2024-02-20,2024,Q1,2,Febrero,8,Martes,False
20240221,2024-02-21,2024,Q1,2,Febrero,8,Miércoles,False
20240222,2024-02-22,2024,Q1,2,Febrero,8,Jueves,False
20240223,2024-02-23,2024,Q1,2,Febrero,8,Viernes,False
20240224,2024-02-24,2024,Q1,2,Febrero,8,Sábado,True
20240225,2024-02-25,2024,Q1,2,Febrero,8,Domingo,True
20240226,2024-02-26,2024,Q1,2,Febrero,9,Lunes,False
20240227,2024-02-27,2024,Q1,2,Febrero,9,Martes,False
20240228,2024-02-28,2024,Q1,2,Febrero,9,Miércoles,False
20240229,2024-02-29,2024,Q1,2,Febrero,9,Jueves,False
20240301,2024-03-01,2024,Q1,3,Marzo,9,Viernes,False
20240302,2024-03-02,2024,Q1,3,Marzo,9,Sábado,True
20240303,2024-03-03,2024,Q1,3,Marzo,9,Domingo,True
20240304,2024-03-04,2024,Q1,3,Marzo,10,Lunes,False
20240305,2024-03-05,2024,Q1,3,Marzo,10,Martes,False
20240306,2024-03-06,2024,Q1,3,Marzo,10,Miércoles,False
20240307,2024-03-07,2024,Q1,3,Marzo,10,Jueves,False
20240308,2024-03-08,2024,Q1,3,Marzo,10,Viernes,False
20240309,2024-03-09,2024,Q1,3,Marzo,10,Sábado,True
20240310,2024-03-10,2024,Q1,3,Marzo,10,Domingo,True
20240311,2024-03-11,2024,Q1,3,Marzo,11,Lunes,False
