WorkOrderID,CreatedDateKey,ClosedDateKey,AreaID,EquipmentID,ServiceID,ResponsibleID,WorkTypeID,PriorityID,StatusID,EstimatedHours,ActualHours,IsCritical,ReworkFlag,SourceSystem
WO000001,20240727,20240809,A017,EQ0031,SV9,R014,WT7,P4,S4,63.17,97.12,False,False,SCADA
WO000002,20241222,,A017,EQ0001,SV1,R006,WT11,P1,S2,6.94,9.13,True,False,SAP PM
WO000003,20240809,20240818,A004,EQ0053,SV5,R006,WT7,P3,S5,32.58,64.65,False,False,SAP PM
WO000004,20240827,20240901,A004,EQ0046,SV12,R014,WT4,P3,S4,29.64,36.47,False,False,Dispatch
WO000005,20241125,20241127,A012,EQ0043,SV9,R011,WT1,P2,S4,15.61,13.33,True,False,Dispatch
WO000006,20240829,20240831,A009,EQ0059,SV7,R014,WT1,P2,S4,16.15,15.49,True,False,Excel Manual
WO000007,20240430,,A013,EQ0012,SV1,R013,WT3,P3,S2,48.85,107.89,False,False,SCADA
WO000008,20240712,20240713,A010,EQ0055,SV10,R001,WT6,P2,S4,10.57,5.73,True,False,Excel Manual
WO000009,20240327,,A010,EQ0014,SV6,R013,WT1,P4,S2,89.6,133.38,False,False,SAP PM
WO000010,20240502,20240505,A009,EQ0059,SV11,R013,WT8,P2,S4,11.6,21.59,True,False,SAP PM
WO000011,20240905,,A013,EQ0012,SV10,R012,WT5,P2,S2,20.91,29.48,True,False,SAP PM
WO000012,20240224,20240311,A010,EQ0034,SV12,R007,WT2,P3,S4,34.23,122.23,True,False,Maximo
WO000013,20240902,,A004,EQ0048,SV2,R006,WT8,P2,S2,8.63,14.14,True,False,SAP PM
WO000014,20240801,,A017,EQ0005,SV11,R003,WT4,P1,S2,5.3,6.88,True,False,Maximo
WO000015,20240422,,A017,EQ0005,SV9,R019,WT6,P3,S2,33.23,30.19,False,False,SAP PM
WO000016,20240117,20240130,A006,EQ0051,SV4,R017,WT2,P3,S4,50.09,97.4,False,False,Maximo
WO000017,20240914,,A017,EQ0004,SV11,R025,WT2,P2,S3,11.43,25.96,True,False,Dispatch
WO000018,20241028,20241103,A017,EQ0037,SV7,R008,WT1,P3,S4,42.15,46.65,False,False,SCADA
WO000019,20240924,20240928,A017,EQ0057,SV8,R013,WT3,P3,S4,32.31,26.14,False,False,Maximo
WO000020,20240603,20240607,A017,EQ0037,SV12,R006,WT6,P3,S4,42.18,28.11,False,False,SAP PM
WO000021,20240827,,A004,EQ0029,SV7,R029,WT10,P2,S2,10.2,12.19,True,False,SAP PM
WO000022,20240531,20240601,A004,EQ0026,SV8,R024,WT8,P2,S4,12.86,7.63,True,False,Maximo
WO000023,20240511,20240518,A008,EQ0039,SV11,R005,WT1,P4,S4,55.13,49.98,False,False,SAP PM
WO000024,20240429,,A004,EQ0035,SV10,R025,WT11,P3,S2,57.52,34.27,True,False,SCADA
WO000025,20240318,,A017,EQ0031,SV8,R028,WT1,P1,S2,6.01,9.42,True,False,Excel Manual
WO000026,20241220,,A017,EQ0010,SV11,R020,WT1,P3,S1,31.81,57.07,False,False,SAP PM
WO000027,20240831,20240902,A008,EQ0040,SV11,R030,WT6,P2,S4,9.49,10.85,True,False,SAP PM
WO000028,20240305,,A017,EQ0045,SV8,R006,WT8,P3,S2,26.22,62.53,False,False,SAP PM
WO000029,20241112,20241121,A012,EQ0043,SV2,R009,WT9,P3,S4,34.18,66.52,False,False,Dispatch
WO000030,20240225,20240313,A017,EQ0005,SV9,R019,WT7,P4,S4,73.69,131.97,False,False,SAP PM
WO000031,20240805,,A012,EQ0043,SV4,R017,WT2,P4,S2,68.39,88.53,False,False,SCADA
WO000032,20240301,20240304,A012,EQ0044,SV8,R022,WT1,P2,S4,21.22,20.25,True,False,Maximo
WO000033,20240512,,A013,EQ0012,SV5,R029,WT1,P3,S2,56.57,79.18,False,False,Maximo
WO000034,20240829,,A006,EQ0051,SV5,R007,WT4,P2,S2,9.43,9.82,True,False,SCADA
WO000035,20241231,,A008,EQ0032,SV12,R027,WT3,P3,S3,31.49,43.82,False,False,SAP PM
WO000036,20241229,,A004,EQ0029,SV3,R004,WT1,P3,S2,26.25,37.68,False,True,Dispatch
WO000037,20241123,,A012,EQ0044,SV2,R014,WT3,P1,S2,3.41,3.42,True,False,SAP PM
WO000038,20240327,20240329,A017,EQ0031,SV8,R014,WT4,P1,S4,5.13,8.98,True,False,SCADA
WO000039,20240204,20240205,A010,EQ0033,SV8,R025,WT5,P1,S4,3.14,3.15,True,True,Dispatch
WO000040,20241127,20241128,A004,EQ0019,SV12,R013,WT2,P1,S4,3.06,4.33,True,False,SAP PM
WO000041,20241203,,A005,EQ0056,SV1,R025,WT2,P2,S2,9.96,9.35,True,False,Maximo
WO000042,20240411,20240422,A009,EQ0059,SV11,R005,WT5,P4,S4,86.18,85.01,False,False,SCADA
WO000043,20240108,20240117,A017,EQ0008,SV11,R030,WT5,P3,S4,25.97,71.04,True,False,SAP PM
WO000044,20240825,,A012,EQ0044,SV3,R006,WT2,P3,S2,63.6,68.77,False,True,Maximo
WO000045,20240128,20240204,A004,EQ0002,SV10,R018,WT1,P3,S4,40.28,53.5,False,False,SAP PM
WO000046,20240115,,A010,EQ0023,SV11,R015,WT9,P3,S1,38.53,35.18,False,False,SCADA
WO000047,20241208,20241209,A009,EQ0059,SV2,R003,WT6,P2,S4,14.67,6.4,True,False,Maximo
WO000048,20240630,20240720,A008,EQ0011,SV1,R016,WT2,P4,S4,76.18,153.37,False,False,Maximo
WO000049,20240211,20240216,A010,EQ0023,SV8,R027,WT4,P3,S4,41.83,36.6,False,False,SCADA
WO000050,20240827,20240904,A010,EQ0014,SV8,R017,WT4,P3,S4,44.46,56.18,False,False,SCADA
WO000051,20240515,20240529,A012,EQ0044,SV11,R022,WT1,P4,S4,64.42,107.89,False,False,SAP PM
WO000052,20240715,,A005,EQ0028,SV12,R030,WT2,P3,S1,37.95,64.43,False,False,SAP PM
WO000053,20241124,20241129,A004,EQ0036,SV2,R010,WT10,P3,S5,26.28,33.34,False,False,SAP PM
WO000054,20240328,,A017,EQ0057,SV12,R002,WT3,P4,S2,86.34,66.27,False,False,Dispatch
WO000055,20240824,,A008,EQ0032,SV11,R021,WT2,P2,S2,16.55,30.35,True,True,Maximo
WO000056,20241030,,A017,EQ0045,SV8,R024,WT7,P3,S2,51.69,80.31,False,False,SAP PM
WO000057,20240604,20240605,A005,EQ0006,SV5,R005,WT3,P1,S4,6.94,4.03,True,False,Maximo
WO000058,20241221,20241222,A017,EQ0013,SV8,R011,WT4,P1,S4,4.88,7.64,True,False,Maximo
WO000059,20240613,20240630,A017,EQ0057,SV7,R011,WT2,P3,S4,60.12,135.33,False,False,Maximo
WO000060,20240617,20240619,A010,EQ0052,SV5,R023,WT1,P1,S4,4.75,9.79,True,False,Maximo
WO000061,20241119,,A008,EQ0040,SV1,R027,WT1,P4,S1,73.52,202.22,True,False,SAP PM
WO000062,20240820,20240822,A010,EQ0023,SV9,R023,WT10,P1,S4,5.58,8.54,True,False,SAP PM
WO000063,20241113,,A013,EQ0012,SV4,R009,WT4,P3,S1,33.75,46.29,False,True,Dispatch
WO000064,20241016,20241020,A010,EQ0052,SV3,R019,WT7,P2,S4,11.27,28.75,True,False,SCADA
WO000065,20240917,,A004,EQ0048,SV5,R009,WT1,P4,S1,75.65,57.6,True,False,SCADA
WO000066,20240329,20240330,A004,EQ0015,SV1,R019,WT6,P2,S5,9.31,5.1,True,False,SAP PM
WO000067,20240525,20240526,A004,EQ0036,SV5,R029,WT3,P1,S4,3.84,3.47,True,False,Excel Manual
WO000068,20241112,20241114,A004,EQ0038,SV11,R020,WT5,P1,S4,6.29,11.89,True,False,SAP PM
WO000069,20240813,,A004,EQ0029,SV9,R024,WT2,P3,S2,43.56,54.89,False,False,SCADA
WO000070,20240412,,A005,EQ0056,SV1,R023,WT4,P4,S2,43.76,90.02,False,False,SCADA
WO000071,20240429,20240508,A017,EQ0008,SV4,R015,WT1,P4,S4,46.01,64.69,True,False,SAP PM
WO000072,20241010,20241014,A017,EQ0016,SV8,R004,WT1,P2,S4,20.54,25.15,True,False,SAP PM
WO000073,20240306,,A005,EQ0006,SV12,R030,WT7,P2,S1,21.03,18.62,True,False,SCADA
WO000074,20240211,20240212,A004,EQ0042,SV6,R011,WT1,P1,S4,5.62,7.17,True,False,Maximo
WO000075,20241007,20241011,A008,EQ0039,SV12,R027,WT1,P3,S4,32.52,30.11,False,False,Excel Manual
WO000076,20240415,20240427,A017,EQ0060,SV1,R026,WT8,P3,S4,39.78,89.88,False,False,SCADA
WO000077,20241007,20241011,A010,EQ0033,SV11,R021,WT2,P2,S4,12.43,26.88,True,False,Excel Manual
WO000078,20240714,20240721,A017,EQ0010,SV2,R017,WT4,P3,S4,56.29,52.9,False,False,SCADA
WO000079,20241231,,A005,EQ0028,SV9,R009,WT7,P4,S3,77.45,232.76,False,False,Maximo
WO000080,20240711,,A005,EQ0006,SV2,R005,WT6,P1,S1,6.23,11.35,True,False,Excel Manual
WO000081,20241113,,A005,EQ0041,SV12,R027,WT1,P2,S3,13.16,10.14,True,False,Dispatch
WO000082,20241107,20241111,A005,EQ0041,SV3,R029,WT4,P2,S4,19.88,29.48,True,True,SAP PM
WO000083,20240318,,A010,EQ0052,SV5,R021,WT4,P1,S2,4.69,10.3,True,False,Maximo
WO000084,20241230,,A005,EQ0021,SV8,R030,WT2,P2,S2,13.91,14.56,True,False,SAP PM
WO000085,20240929,20241005,A004,EQ0019,SV1,R007,WT6,P3,S4,44.57,47.86,False,False,Excel Manual
WO000086,20240209,20240210,A017,EQ0005,SV7,R016,WT10,P1,S4,5.4,3.37,True,False,SCADA
WO000087,20240103,20240109,A004,EQ0025,SV4,R006,WT1,P3,S4,60.61,40.44,False,True,Maximo
WO000088,20240409,20240417,A004,EQ0029,SV6,R016,WT1,P4,S4,72.21,56.22,False,False,Excel Manual
WO000089,20240106,20240115,A004,EQ0046,SV4,R027,WT6,P4,S4,103.39,68.24,False,False,SAP PM
WO000090,20240510,,A004,EQ0046,SV11,R009,WT3,P3,S1,40.79,34.77,False,False,Maximo
WO000091,20241230,20241231,A004,EQ0009,SV6,R013,WT7,P2,S4,12.68,43.53,True,False,Maximo
WO000092,20240624,20240625,A009,EQ0018,SV10,R016,WT1,P1,S4,4.1,4.46,True,False,SAP PM
WO000093,20240109,,A017,EQ0031,SV1,R014,WT1,P2,S1,8.68,13.34,True,False,SAP PM
WO000094,20240629,,A005,EQ0021,SV9,R030,WT5,P4,S1,98.04,257.68,False,True,Maximo
