SLAID,WorkOrderID,ClientID,ServiceID,AreaID,PriorityID,CreatedDateKey,CommittedDateKey,ResolvedDateKey,TargetHours,ActualHours,SLAMetFlag,BreachHours
SLA000001,WO003087,C013,SV8,A010,P3,20241224,20241227,20241231,72,163.08,False,91.08
SLA000002,WO002238,C006,SV9,A017,P3,20241117,20241120,20241122,72,119.25,False,47.25
SLA000003,WO002647,C001,SV7,A004,P2,20240427,20240428,20240428,24,17.13,True,0.0
SLA000004,WO002261,C013,SV12,A010,P2,20240718,20240719,20240720,24,30.94,False,6.94
SLA000005,WO003919,C014,SV7,A017,P4,20240603,20240608,20240612,120,200.34,False,80.34
SLA000006,WO003768,C012,SV12,A009,P1,20240930,20240930,20241001,8,11.81,False,3.81
SLA000007,WO001030,C007,SV2,A017,P2,20240104,20240105,20240106,24,37.22,False,13.22
SLA000008,WO002423,C001,SV6,A017,P4,20240416,20240421,20240418,120,39.34,True,0.0
SLA000009,WO001978,C004,SV3,A017,P2,20240226,20240227,20240227,24,18.33,True,0.0
SLA000010,WO000935,C012,SV3,A004,P2,20240802,20240803,20240803,24,11.46,True,0.0
SLA000011,WO003428,C001,SV6,A004,P3,20241122,20241125,20241124,72,40.37,True,0.0
SLA000012,WO002233,C013,SV7,A008,P4,20241114,20241119,20241118,120,75.35,True,0.0
SLA000013,WO001107,C004,SV2,A012,P2,20241209,20241210,20241210,24,22.77,True,0.0
SLA000014,WO001988,C008,SV2,A009,P2,20241217,20241218,20241219,24,42.64,False,18.64
SLA000015,WO002603,C020,SV6,A004,P1,20240416,20240416,20240417,8,6.81,True,0.0
SLA000016,WO001507,C007,SV10,A010,P4,20240515,20240520,20240523,120,182.1,False,62.1
SLA000017,WO002929,C009,SV7,A004,P2,20240723,20240724,20240724,24,9.65,True,0.0
SLA000018,WO000863,C016,SV3,A017,P2,20241005,20241006,20241006,24,11.39,True,0.0
SLA000019,WO000585,C002,SV4,A010,P4,20240513,20240518,20240515,120,43.11,True,0.0
SLA000020,WO002935,C008,SV11,A012,P4,20241018,20241023,20241022,120,75.43,True,0.0
SLA000021,WO001740,C010,SV4,A009,P3,20240201,20240204,20240206,72,112.21,False,40.21
SLA000022,WO001837,C006,SV2,A010,P3,20240109,20240112,20240113,72,87.99,False,15.99
SLA000023,WO004220,C020,SV9,A009,P1,20240614,20240614,20240615,8,9.83,False,1.83
SLA000024,WO004166,C016,SV12,A010,P2,20240119,20240120,20240120,24,21.29,True,0.0
SLA000025,WO004200,C002,SV7,A017,P1,20241112,20241112,20241113,8,4.09,True,0.0
SLA000026,WO000078,C020,SV2,A017,P3,20240714,20240717,20240717,72,48.41,True,0.0
